experiment,dataset,seed,model,variant,train_samples,test_samples,n_features,fit_seconds,predict_seconds,gb_feature_seconds,n_balls,split_protocol,validation_pr_auc,validation_roc_auc,pr_auc,roc_auc,macro_f1,mcc,recall_positive,threshold
finance_gb_v1,australian_credit,2026,catboost,gbfeat,414,138,26,0.09887791600340279,0.00041162499837810174,0.45830329199816333,59.0,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.906068903801806,0.9242359932088287,0.9398442141961697,0.948051948051948,0.8695378151260504,0.7571674274925426,0.9672131147540983,0.22
finance_gb_v1,australian_credit,2026,catboost,gbweight,414,138,14,0.06832420799764805,0.00016741600120440125,0.45830329199816333,59.0,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.9062460718840908,0.9278438030560271,0.9405148859839266,0.949755162869917,0.855072463768116,0.7334468809878646,0.9672131147540983,0.13999999999999999
finance_gb_v1,australian_credit,2026,catboost,raw,414,138,14,0.0654723340048804,0.00017512500198790804,0.0,,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.9011073656651409,0.9250848896434635,0.948266515940834,0.9544390036193315,0.8623116105655622,0.7512009785700159,0.9836065573770492,0.12786074344294646
finance_gb_v1,australian_credit,2026,lightgbm,gbfeat,414,138,26,0.3794695420001517,0.0005721669949707575,0.45830329199816333,59.0,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.8952559320914147,0.9157470288624788,0.938698704585412,0.9520970832446243,0.8768051252428715,0.7745785164587349,0.9836065573770492,0.19684801681578865
finance_gb_v1,australian_credit,2026,lightgbm,gbweight,414,138,14,0.36977358299918706,0.0006062079992261715,0.45830329199816333,59.0,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.9174153870647969,0.9293293718166383,0.9378025182554609,0.9493293591654247,0.8766496661233503,0.7645382982925495,0.9508196721311475,0.29000000000000004
finance_gb_v1,australian_credit,2026,lightgbm,raw,414,138,14,0.37563075000070967,0.0005945419979980215,0.0,,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.9103600824324753,0.9240237691001698,0.9424420865976451,0.9527357888013626,0.8694555392053815,0.7521808698065524,0.9508196721311475,0.26
finance_gb_v1,australian_credit,2026,xgboost,gbfeat,414,138,26,0.2586387499977718,0.0003618749979068525,0.45830329199816333,59.0,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.9158756941495017,0.9284804753820034,0.9388203531551563,0.9499680647221631,0.8695378151260504,0.7571674274925426,0.9672131147540983,0.21
finance_gb_v1,australian_credit,2026,xgboost,gbweight,414,138,14,0.25421225000172853,0.0003839589990093373,0.45830329199816333,59.0,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.9190882632334647,0.9316638370118846,0.939380832355867,0.9495422610176709,0.8695378151260504,0.7571674274925426,0.9672131147540983,0.2496444284915924
finance_gb_v1,australian_credit,2026,xgboost,raw,414,138,14,0.34506191699620103,0.0003774580036406405,0.0,,seeded stratified 60/20/20; anonymized application rows have no valid event order,0.9177348093400647,0.9316638370118845,0.9402361286381221,0.9514583776878859,0.840546218487395,0.7101997412229646,0.9672131147540983,0.16
finance_gb_v1,polish_bankruptcy_5year,1,catboost,gbfeat,3546,1182,76,0.3874342500057537,0.0006571669946424663,0.03225383300014073,1.0,seeded stratified 60/20/20 within the 5-year forecasting-horizon task; horizons are not pooled,0.6505725705485358,0.932028824833703,0.6961763891204584,0.9397560975609756,0.7968847006651885,0.5937694013303769,0.6219512195121951,0.55
finance_gb_v1,polish_bankruptcy_5year,1,catboost,gbweight,3546,1182,64,0.37794525000208523,0.000578125000174623,0.03225383300014073,1.0,seeded stratified 60/20/20 within the 5-year forecasting-horizon task; horizons are not pooled,0.6585077700865197,0.9354878048780488,0.6877298593029927,0.9432039911308204,0.7715004427175939,0.5513159402095861,0.6829268292682927,0.35715566721731823
finance_gb_v1,polish_bankruptcy_5year,1,catboost,raw,3546,1182,64,0.37560875000053784,0.0005761669963249005,0.0,,seeded stratified 60/20/20 within the 5-year forecasting-horizon task; horizons are not pooled,0.6588787201966554,0.9274944567627496,0.6654325072518817,0.9403325942350332,0.786449864498645,0.5760157348366781,0.5487804878048781,0.6330871059569813
finance_gb_v1,polish_bankruptcy_5year,1,lightgbm,gbfeat,3546,1182,76,0.8691317080010776,0.0025804999968386255,0.03225383300014073,1.0,seeded stratified 60/20/20 within the 5-year forecasting-horizon task; horizons are not pooled,0.7279939552073998,0.9414966740576496,0.8043308634000688,0.958669623059867,0.8585512689514236,0.722860484524647,0.6585365853658537,0.5732080555433166
finance_gb_v1,polish_bankruptcy_5year,1,lightgbm,gbweight,3546,1182,64,0.8650131249960396,0.00261920800403459,0.03225383300014073,1.0,seeded stratified 60/20/20 within the 5-year forecasting-horizon task; horizons are not pooled,0.7435574526510921,0.9421951219512196,0.8112219543256742,0.9611640798226163,0.8651386265387102,0.7407917594323844,0.6463414634146342,0.65
finance_gb_v1,polish_bankruptcy_5year,1,lightgbm,raw,3546,1182,64,0.8734016670059646,0.0027102079984615557,0.0,,seeded stratified 60/20/20 within the 5-year forecasting-horizon task; horizons are not pooled,0.7340020203899408,0.9444567627494456,0.8094495902859256,0.9589356984478935,0.859496996996997,0.7273237182786427,0.6463414634146342,0.62
finance_gb_v1,polish_bankruptcy_5year,1,xgboost,gbfeat,3546,1182,76,0.4331720000045607,0.0007160000022849999,0.03225383300014073,1.0,seeded stratified 60/20/20 within the 5-year forecasting-horizon task; horizons are not pooled,0.7203310126621496,0.9445011086474501,0.7837469221085415,0.9590465631929046,0.8426617309618285,0.6952863099131515,0.6097560975609756,0.5900000000000001
finance_gb_v1,polish_bankruptcy_5year,1,xgboost,gbweight,3546,1182,64,0.4205162919970462,0.0006862079972052015,0.03225383300014073,1.0,seeded stratified 60/20/20 within the 5-year forecasting-horizon task; horizons are not pooled,0.7165721339556428,0.942960088691796,0.7796271550225261,0.9603436807095344,0.8256631454052619,0.6668422724801476,0.5609756097560976,0.6374374628067017
finance_gb_v1,polish_bankruptcy_5year,1,xgboost,raw,3546,1182,64,0.41636975000437815,0.0007121670059859753,0.0,,seeded stratified 60/20/20 within the 5-year forecasting-horizon task; horizons are not pooled,0.7215521342451162,0.9462084257206208,0.7910398173161374,0.9582261640798226,0.8447072072072073,0.6974534345843529,0.6219512195121951,0.62
finance_gb_v1,polish_bankruptcy_5year,7,catboost,gbfeat,3546,1182,76,0.38874924999981886,0.0006332909979391843,0.03224245900491951,1.0,seeded stratified 60/20/20 within the 5-year forecasting-horizon task; horizons are not pooled,0.7048228457618722,0.9426274944567627,0.7122200857572731,0.955210643015521,0.784522832923161,0.5817028034999766,0.5,0.66
finance_gb_v1,polish_bankruptcy_5year,7,catboost,gbweight,3546,1182,64,0.3747321249975357,0.000570500000321772,0.03224245900491951,1.0,seeded stratified 60/20/20 within the 5-year forecasting-horizon task; horizons are not pooled,0.7292891573628392,0.9517073170731707,0.7300462225069829,0.9498447893569845,0.8163690824995435,0.6328654083976909,0.6707317073170732,0.5114190408905471
finance_gb_v1,polish_bankruptcy_5year,7,catboost,raw,3546,1182,64,0.37796116700337734,0.0005640840026899241,0.0,,seeded stratified 60/20/20 within the 5-year forecasting-horizon task; horizons are not pooled,0.7240403895191473,0.9456430155210643,0.7430786147977838,0.9535809312638581,0.8153052853627094,0.6443946397194407,0.5487804878048781,0.6900000000000001
