experiment,domain,dataset,seed,model,variant,fit_samples,train_samples,test_samples,n_features,fit_seconds,predict_seconds,split_protocol,accuracy,macro_f1,balanced_accuracy,mcc,minority_recall,g_mean,gb_feature_seconds,n_regions,fit_subset
unsupervised_local_structure_v1,industrial_tabular,aps_failure,21,catboost,kmeansfeat,48000,48000,16000,180,2.016635709005641,0.007950457998958882,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.97725,0.8237041406763465,0.9584213333333333,0.6814104728459937,0.9386666666666666,0.958217723345448,0.8999877500027651,9.0,12000.0
raw_baseline_v1,industrial_tabular,aps_failure,21,catboost,raw,48000,48000,16000,170,1.6203483329954906,0.003894665998814162,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.976625,0.8217594321846468,0.9633066666666668,0.6802990293200868,0.9493333333333334,0.9632053155999505,,,
unsupervised_local_structure_v1,industrial_tabular,aps_failure,21,catboost,ugbfeat,48000,48000,16000,180,2.0112986669992097,0.008667667003464885,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.978,0.8282738349331025,0.961408,0.6896630784297875,0.944,0.9612503856956313,0.8999877500027651,9.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,aps_failure,21,extra_trees,kmeansfeat,48000,48000,16000,180,3.6992936250026105,0.07632229199953144,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.989,0.8529342643318589,0.7887573333333333,0.7262861230907535,0.5786666666666667,0.7602631404103888,0.8999877500027651,9.0,12000.0
raw_baseline_v1,industrial_tabular,aps_failure,21,extra_trees,raw,48000,48000,16000,170,2.729259957995964,0.04253966700343881,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.98925,0.8567372235840516,0.7927893333333333,0.7333601084376772,0.5866666666666667,0.7655249005312194,,,
unsupervised_local_structure_v1,industrial_tabular,aps_failure,21,extra_trees,ugbfeat,48000,48000,16000,180,3.4053690419968916,0.05552454199641943,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9895,0.8605158298965638,0.7968213333333334,0.7403889341475527,0.5946666666666667,0.7707514047992388,0.8999877500027651,9.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,aps_failure,21,lightgbm,kmeansfeat,48000,48000,16000,180,2.1554797909993795,0.029464999999618158,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.991,0.9079165986565735,0.9355306666666666,0.8176629195979817,0.8773333333333333,0.9337187470896504,0.8999877500027651,9.0,12000.0
raw_baseline_v1,industrial_tabular,aps_failure,21,lightgbm,raw,48000,48000,16000,170,1.958799457999703,0.02716195900575258,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9911875,0.9095051629189863,0.9356266666666666,0.8206523207650382,0.8773333333333333,0.9338089454843891,,,
unsupervised_local_structure_v1,industrial_tabular,aps_failure,21,lightgbm,ugbfeat,48000,48000,16000,180,2.122098708001431,0.030271709001681302,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.991,0.9079165986565735,0.9355306666666666,0.8176629195979817,0.8773333333333333,0.9337187470896504,0.8999877500027651,9.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,aps_failure,21,random_forest,kmeansfeat,48000,48000,16000,180,8.22957233300258,0.04771129199798452,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9890625,0.8530611893615672,0.787488,0.7276844022675777,0.576,0.758557958233911,0.8999877500027651,9.0,12000.0
