experiment_id,seed,budget,method,n_blocks,n_corrupt,n_groups,scenario,audit_cost,corruption_recall,detection_probability,time_to_first_detection,worst_case_miss_rate
cloud-auditing-v1-s2026,2026,100,uniform,10000,100,,adversarial,100.0,0.008000000000000002,0.5333333333333333,61.9,1.0
cloud-auditing-v1-s2026,2026,100,weighted_random,10000,100,,adversarial,100.0,0.004,0.36666666666666664,86.7,1.0
cloud-auditing-v1-s2026,2026,250,anomaly_score,10000,100,,adversarial,250.0,0.0036666666666666657,0.3,205.16666666666666,1.0
cloud-auditing-v1-s2026,2026,250,gb_center_only,10000,100,2.0,adversarial,250.0,0.014666666666666668,0.8666666666666667,130.76666666666668,1.0
cloud-auditing-v1-s2026,2026,250,gb_three_way,10000,100,2.0,adversarial,250.0,0.005000000000000001,0.36666666666666664,197.93333333333334,1.0
cloud-auditing-v1-s2026,2026,250,granular_ball,10000,100,2.0,adversarial,250.0,0.008333333333333333,0.6333333333333333,150.7,1.0
cloud-auditing-v1-s2026,2026,250,kmeans_group,10000,100,2.0,adversarial,250.0,0.019000000000000003,0.9666666666666667,85.46666666666667,0.99
cloud-auditing-v1-s2026,2026,250,risk_score,10000,100,,adversarial,250.0,0.0003333333333333333,0.03333333333333333,250.63333333333333,1.0
cloud-auditing-v1-s2026,2026,250,tree_partition,10000,100,2.0,adversarial,250.0,0.0,0.0,251.0,1.0
cloud-auditing-v1-s2026,2026,250,uniform,10000,100,,adversarial,250.0,0.026000000000000006,1.0,67.2,0.99
cloud-auditing-v1-s2026,2026,250,weighted_random,10000,100,,adversarial,250.0,0.01366666666666667,0.8,120.4,1.0
cloud-auditing-v1-s1,1,50,anomaly_score,10000,100,,clustered,50.0,0.003333333333333333,0.3333333333333333,44.5,1.0
cloud-auditing-v1-s1,1,50,gb_center_only,10000,100,131.0,clustered,50.0,0.007333333333333334,0.4666666666666667,33.7,1.0
cloud-auditing-v1-s1,1,50,gb_three_way,10000,100,131.0,clustered,50.0,0.005333333333333333,0.4,45.166666666666664,1.0
cloud-auditing-v1-s1,1,50,granular_ball,10000,100,131.0,clustered,50.0,0.006666666666666669,0.5666666666666667,36.96666666666667,1.0
cloud-auditing-v1-s1,1,50,kmeans_group,10000,100,131.0,clustered,50.0,0.005666666666666666,0.4,39.93333333333333,1.0
cloud-auditing-v1-s1,1,50,risk_score,10000,100,,clustered,50.0,0.0016666666666666668,0.16666666666666666,44.7,1.0
cloud-auditing-v1-s1,1,50,tree_partition,10000,100,131.0,clustered,50.0,0.005666666666666667,0.36666666666666664,39.93333333333333,1.0
cloud-auditing-v1-s1,1,50,uniform,10000,100,,clustered,50.0,0.005,0.4666666666666667,39.36666666666667,1.0
cloud-auditing-v1-s1,1,50,weighted_random,10000,100,,clustered,50.0,0.004666666666666667,0.3,43.06666666666667,1.0
cloud-auditing-v1-s1,1,100,anomaly_score,10000,100,,clustered,100.0,0.009666666666666667,0.6333333333333333,59.96666666666667,1.0
cloud-auditing-v1-s1,1,100,gb_center_only,10000,100,131.0,clustered,100.0,0.01266666666666667,0.8333333333333334,52.63333333333333,1.0
cloud-auditing-v1-s1,1,100,gb_three_way,10000,100,131.0,clustered,100.0,0.013666666666666669,0.7666666666666667,54.2,1.0
cloud-auditing-v1-s1,1,100,granular_ball,10000,100,131.0,clustered,100.0,0.014333333333333335,0.8666666666666667,46.7,1.0
cloud-auditing-v1-s1,1,100,kmeans_group,10000,100,131.0,clustered,100.0,0.010000000000000002,0.5333333333333333,64.36666666666666,1.0
cloud-auditing-v1-s1,1,100,risk_score,10000,100,,clustered,100.0,0.008666666666666668,0.6666666666666666,62.3,1.0
cloud-auditing-v1-s1,1,100,tree_partition,10000,100,131.0,clustered,100.0,0.007333333333333334,0.5,72.86666666666666,1.0
cloud-auditing-v1-s1,1,100,uniform,10000,100,,clustered,100.0,0.013000000000000003,0.6666666666666666,59.166666666666664,1.0
cloud-auditing-v1-s1,1,100,weighted_random,10000,100,,clustered,100.0,0.009666666666666667,0.6,59.666666666666664,1.0
cloud-auditing-v1-s1,1,250,anomaly_score,10000,100,,clustered,250.0,0.026333333333333334,0.9333333333333333,93.26666666666667,0.9954999999999999
cloud-auditing-v1-s1,1,250,gb_center_only,10000,100,131.0,clustered,250.0,0.025333333333333333,0.9666666666666667,89.0,0.99
cloud-auditing-v1-s1,1,250,gb_three_way,10000,100,131.0,clustered,250.0,0.029333333333333336,1.0,76.16666666666667,0.99
cloud-auditing-v1-s1,1,250,granular_ball,10000,100,131.0,clustered,250.0,0.02166666666666667,0.9333333333333333,120.56666666666666,0.9954999999999999
cloud-auditing-v1-s1,1,250,kmeans_group,10000,100,131.0,clustered,250.0,0.020333333333333335,0.9333333333333333,90.0,0.9954999999999999
cloud-auditing-v1-s1,1,250,risk_score,10000,100,,clustered,250.0,0.025000000000000005,0.9,90.5,1.0
cloud-auditing-v1-s1,1,250,tree_partition,10000,100,131.0,clustered,250.0,0.02533333333333334,0.9333333333333333,66.46666666666667,0.9954999999999999
cloud-auditing-v1-s1,1,250,uniform,10000,100,,clustered,250.0,0.026333333333333334,0.9666666666666667,71.9,0.99
cloud-auditing-v1-s1,1,250,weighted_random,10000,100,,clustered,250.0,0.02766666666666667,0.9,87.03333333333333,1.0
cloud-auditing-v1-s7,7,50,anomaly_score,10000,100,,clustered,50.0,0.010000000000000002,0.5666666666666667,35.166666666666664,1.0
cloud-auditing-v1-s7,7,50,gb_center_only,10000,100,73.0,clustered,50.0,0.004333333333333333,0.36666666666666664,40.7,1.0
cloud-auditing-v1-s7,7,50,gb_three_way,10000,100,73.0,clustered,50.0,0.006,0.4,39.5,1.0
cloud-auditing-v1-s7,7,50,granular_ball,10000,100,73.0,clustered,50.0,0.0036666666666666666,0.3333333333333333,43.266666666666666,1.0
cloud-auditing-v1-s7,7,50,kmeans_group,10000,100,73.0,clustered,50.0,0.007333333333333334,0.5666666666666667,34.36666666666667,1.0
cloud-auditing-v1-s7,7,50,risk_score,10000,100,,clustered,50.0,0.005000000000000001,0.4,43.56666666666667,1.0
cloud-auditing-v1-s7,7,50,tree_partition,10000,100,73.0,clustered,50.0,0.006666666666666669,0.5666666666666667,36.06666666666667,1.0
cloud-auditing-v1-s7,7,50,uniform,10000,100,,clustered,50.0,0.006333333333333333,0.43333333333333335,37.166666666666664,1.0
cloud-auditing-v1-s7,7,50,weighted_random,10000,100,,clustered,50.0,0.005,0.4,39.666666666666664,1.0
cloud-auditing-v1-s7,7,100,anomaly_score,10000,100,,clustered,100.0,0.008,0.5333333333333333,72.26666666666667,1.0
cloud-auditing-v1-s7,7,100,gb_center_only,10000,100,73.0,clustered,100.0,0.01,0.6,64.7,1.0
cloud-auditing-v1-s7,7,100,gb_three_way,10000,100,73.0,clustered,100.0,0.011333333333333336,0.7333333333333333,56.96666666666667,1.0
cloud-auditing-v1-s7,7,100,granular_ball,10000,100,73.0,clustered,100.0,0.008333333333333333,0.5333333333333333,63.5,1.0
cloud-auditing-v1-s7,7,100,kmeans_group,10000,100,73.0,clustered,100.0,0.012333333333333335,0.7,56.56666666666667,1.0
cloud-auditing-v1-s7,7,100,risk_score,10000,100,,clustered,100.0,0.012333333333333337,0.7666666666666667,48.6,1.0
cloud-auditing-v1-s7,7,100,tree_partition,10000,100,73.0,clustered,100.0,0.009333333333333334,0.5333333333333333,61.4,1.0
cloud-auditing-v1-s7,7,100,uniform,10000,100,,clustered,100.0,0.011000000000000003,0.8,51.7,1.0
cloud-auditing-v1-s7,7,100,weighted_random,10000,100,,clustered,100.0,0.009333333333333334,0.6333333333333333,69.1,1.0
cloud-auditing-v1-s7,7,250,anomaly_score,10000,100,,clustered,250.0,0.02966666666666667,0.9,82.33333333333333,1.0
cloud-auditing-v1-s7,7,250,gb_center_only,10000,100,73.0,clustered,250.0,0.019333333333333334,0.8333333333333334,125.8,1.0
cloud-auditing-v1-s7,7,250,gb_three_way,10000,100,73.0,clustered,250.0,0.026000000000000006,0.9,91.53333333333333,1.0
cloud-auditing-v1-s7,7,250,granular_ball,10000,100,73.0,clustered,250.0,0.028000000000000008,0.9333333333333333,73.83333333333333,0.9954999999999999
cloud-auditing-v1-s7,7,250,kmeans_group,10000,100,73.0,clustered,250.0,0.025333333333333336,0.9,100.36666666666666,1.0
cloud-auditing-v1-s7,7,250,risk_score,10000,100,,clustered,250.0,0.024000000000000004,0.8666666666666667,109.43333333333334,1.0
cloud-auditing-v1-s7,7,250,tree_partition,10000,100,73.0,clustered,250.0,0.022333333333333337,0.9,110.96666666666667,1.0
cloud-auditing-v1-s7,7,250,uniform,10000,100,,clustered,250.0,0.022666666666666672,0.9666666666666667,83.1,0.99
cloud-auditing-v1-s7,7,250,weighted_random,10000,100,,clustered,250.0,0.030000000000000006,0.9666666666666667,76.66666666666667,0.99
cloud-auditing-v1-s21,21,50,anomaly_score,10000,100,,clustered,50.0,0.007000000000000001,0.4666666666666667,37.266666666666666,1.0
cloud-auditing-v1-s21,21,50,gb_center_only,10000,100,2.0,clustered,50.0,0.005666666666666667,0.43333333333333335,42.5,1.0
cloud-auditing-v1-s21,21,50,gb_three_way,10000,100,2.0,clustered,50.0,0.007000000000000001,0.5333333333333333,36.666666666666664,1.0
cloud-auditing-v1-s21,21,50,granular_ball,10000,100,2.0,clustered,50.0,0.005666666666666668,0.43333333333333335,40.333333333333336,1.0
cloud-auditing-v1-s21,21,50,kmeans_group,10000,100,2.0,clustered,50.0,0.005000000000000001,0.4,40.3,1.0
cloud-auditing-v1-s21,21,50,risk_score,10000,100,,clustered,50.0,0.006666666666666667,0.43333333333333335,37.6,1.0
cloud-auditing-v1-s21,21,50,tree_partition,10000,100,2.0,clustered,50.0,0.007666666666666668,0.6,35.53333333333333,1.0
cloud-auditing-v1-s21,21,50,uniform,10000,100,,clustered,50.0,0.006333333333333334,0.43333333333333335,37.1,1.0
cloud-auditing-v1-s21,21,50,weighted_random,10000,100,,clustered,50.0,0.005666666666666667,0.4,43.13333333333333,1.0
cloud-auditing-v1-s21,21,100,anomaly_score,10000,100,,clustered,100.0,0.010333333333333335,0.6333333333333333,68.4,1.0
cloud-auditing-v1-s21,21,100,gb_center_only,10000,100,2.0,clustered,100.0,0.010666666666666668,0.6666666666666666,57.733333333333334,1.0
cloud-auditing-v1-s21,21,100,gb_three_way,10000,100,2.0,clustered,100.0,0.010000000000000002,0.6333333333333333,63.36666666666667,1.0
cloud-auditing-v1-s21,21,100,granular_ball,10000,100,2.0,clustered,100.0,0.008666666666666668,0.6666666666666666,62.733333333333334,1.0
cloud-auditing-v1-s21,21,100,kmeans_group,10000,100,2.0,clustered,100.0,0.010333333333333335,0.8,51.266666666666666,1.0
cloud-auditing-v1-s21,21,100,risk_score,10000,100,,clustered,100.0,0.009333333333333334,0.6,58.53333333333333,1.0
cloud-auditing-v1-s21,21,100,tree_partition,10000,100,2.0,clustered,100.0,0.012333333333333333,0.7,55.666666666666664,1.0
cloud-auditing-v1-s21,21,100,uniform,10000,100,,clustered,100.0,0.011333333333333336,0.7666666666666667,54.266666666666666,1.0
cloud-auditing-v1-s21,21,100,weighted_random,10000,100,,clustered,100.0,0.010333333333333335,0.7666666666666667,61.6,1.0
cloud-auditing-v1-s21,21,250,anomaly_score,10000,100,,clustered,250.0,0.019333333333333334,0.8,150.46666666666667,1.0
cloud-auditing-v1-s21,21,250,gb_center_only,10000,100,2.0,clustered,250.0,0.029333333333333336,0.9666666666666667,81.6,0.99
