experiment_id,base_config,family,method,condition_a_oracle,condition_b_oracle,positive_global_regret,positive_global_point_fraction,mean_global_regret,max_global_regret,estimated_eps01_oracle_regret,estimated_eps01_condition_a_vs_global,estimated_eps01_cost,estimated_eps01_risk,marginal_value_mean,marginal_value_variance,region_value_variance,region_scores_json
v2thy-B05-s21,B05,B,kmeans,True,True,True,0.9,0.005600000000000005,0.015000000000000013,0,False,10,0.09,0.00010256410256410267,4.109138724523348e-09,2.7394258163488983e-09,"[0.00010256410256410267, 0.00016666666666666682, 3.84615384615385e-05]"
v2thy-B05-s42,B05,B,kmeans,True,True,True,0.9,0.008100000000000007,0.01200000000000001,0,False,6,0.089,7.407407407407414e-05,1.2002743484224987e-09,1.219326322206983e-09,"[7.407407407407414e-05, 7.407407407407414e-05, 0]"
v2thy-B05-s7,B05,B,kmeans,True,True,True,0.9,0.004100000000000002,0.019000000000000003,0,False,16,0.091,8.239538239538246e-05,2.481764667911859e-09,1.941663800997886e-10,"[8.239538239538246e-05, 6.132756132756138e-05, 9.51178451178452e-05]"
v2thy-C00-s1,C00,C,kmeans,True,True,True,0.9,0.016799999999999975,0.030999999999999972,0.014000000000000012,False,179,0.358,0.0003326013677995777,1.502245689905841e-07,5.6289229510460063e-08,"[0.0003326013677995777, 0.0007777777777777785, 0.00012033833378542452, 0.0004119388327721665]"
v2thy-C00-s2026,C00,C,kmeans,True,True,True,0.9,0.015800000000000015,0.029000000000000026,0,False,23,0.376,0.00011609927596769713,2.702381291652354e-08,4.195722192537194e-09,"[0.00011609927596769713, 1.9188596491228088e-05, 0.00019428571428571447, 0.0001529848927875245]"
v2thy-C00-s21,C00,C,kmeans,True,True,True,0.9,0.014399999999999986,0.04700000000000004,0,False,28,0.378,0.00021503081163057065,2.726131245023387e-08,3.4230227505348584e-09,"[0.00021503081163057065, 0.00013800623052959512, 0.0003005157055789939, 0.00019267164455802157]"
v2thy-C00-s42,C00,C,kmeans,True,True,True,0.9,0.01579999999999997,0.024999999999999967,0,True,43,0.371,0.0008013359532894138,8.769467642078157e-07,1.7282713827834767e-07,"[0.0008013359532894138, 5.1126760563380326e-05, 0.0006196709240952967, 0.0012071428571428582]"
v2thy-C00-s7,C00,C,kmeans,True,True,True,0.9,0.013899999999999978,0.02699999999999997,0.018000000000000016,False,32,0.387,0.00036352098842018195,2.795821130198652e-07,3.51192101487509e-08,"[0.00036352098842018195, 0.00013918029215408207, 0.0003651423844972227, 0.000666428571428572]"
v2thy-C01-s1,C01,C,kmeans,True,True,True,0.7,0.0355,0.18899999999999997,0,False,10,0.111,0.03403333333333333,0.00342896,0.0,"[0.03403333333333333, 0.03403333333333333, 0.03403333333333333, 0.03403333333333333]"
v2thy-C01-s2026,C01,C,kmeans,True,True,True,0.7,0.031999999999999994,0.18899999999999997,0,True,9,0.135,0.0235,0.0023763125,1.93718112244898e-06,"[0.0235, 0.0235, 0.0235, 0.026714285714285715]"
v2thy-C01-s21,C01,C,kmeans,False,True,True,0.7,0.03430000000000001,0.17800000000000005,0,False,8,0.109,0.05527777777777777,0.004607413580246913,0.0,"[0.05527777777777777, 0.05527777777777777, 0.05527777777777777, 0.05527777777777777]"
v2thy-C01-s42,C01,C,kmeans,False,True,True,0.7,0.0303,0.159,0,False,8,0.108,0.03368444444444444,0.0034662501530864196,0.0,"[0.03368444444444444, 0.03368444444444444, 0.03368444444444444, 0.03368444444444444]"
v2thy-C01-s7,C01,C,kmeans,True,True,True,0.7,0.031,0.17900000000000002,0,True,7,0.119,0.042532812499999996,0.003954512604980469,0.0,"[0.042532812499999996, 0.042532812499999996, 0.042532812499999996, 0.042532812499999996]"
v2thy-C02-s1,C02,C,kmeans,True,True,True,0.7,0.02029999999999999,0.16199999999999998,0,True,5,0.14,0.08052777777777777,0.006475778549382714,0.0,"[0.08052777777777777, 0.08052777777777777, 0.08052777777777777, 0.08052777777777777]"
v2thy-C02-s2026,C02,C,kmeans,True,True,True,0.6,0.023199999999999988,0.16199999999999998,0,True,5,0.14,0.16099999999999998,0,0.0,"[0.16099999999999998, 0.16099999999999998, 0.16099999999999998, 0.16099999999999998]"
v2thy-C02-s21,C02,C,kmeans,True,True,True,0.5,0.031499999999999986,0.16099999999999998,0,True,5,0.14,0.16099999999999998,0,0.0,"[0.16099999999999998, 0.16099999999999998, 0.16099999999999998, 0.16099999999999998]"
v2thy-C02-s42,C02,C,kmeans,True,True,True,0.7,0.03639999999999999,0.16499999999999998,0,True,5,0.14,0.053720085470085464,0.005754490037621446,0.0001348869783533995,"[0.053720085470085464, 0.053720085470085464, 0.08054166666666665, 0.053720085470085464]"
