experiment_id,case,method,accuracy_gap,global_knn_mixing,within_ball_knn_mixing,mixed_ball_ratio,weighted_impurity,fragmentation_ratio
bmv1-gx40-original-s1,gx40,original,-0.005555555555555536,0.02095238095238095,0.012857142857142855,0.7476190476190476,0.00952380952380951,0.009523809523809525
bmv1-gx40-original-s2026,gx40,original,0.0,0.03619047619047619,0.03523809523809524,1.0,0.023809523809523808,0.009523809523809525
bmv1-gx40-original-s21,gx40,original,-0.005555555555555536,0.03238095238095238,0.029523809523809525,0.7619047619047619,0.01904761904761907,0.009523809523809525
bmv1-gx40-original-s42,gx40,original,-0.005555555555555536,0.01904761904761905,0.021904761904761906,0.7619047619047619,0.014285714285714264,0.009523809523809525
bmv1-gx40-original-s7,gx40,original,-0.005555555555555536,0.02,0.016190476190476193,0.5190476190476191,0.009523809523809518,0.009523809523809525
bmv1-sw04-adaptive-s1,sw04,adaptive,-0.0444444444444444,0.09761904761904762,0.05,0.1880952380952381,0.030952380952380946,0.12380952380952381
bmv1-sw04-adaptive-s2026,sw04,adaptive,-0.0444444444444444,0.08333333333333333,0.04,0.12142857142857143,0.02857142857142857,0.10238095238095238
bmv1-sw04-adaptive-s21,sw04,adaptive,-0.05555555555555558,0.1019047619047619,0.05285714285714285,0.38333333333333336,0.02857142857142856,0.10476190476190476
bmv1-sw04-adaptive-s42,sw04,adaptive,-0.02777777777777779,0.09380952380952381,0.0719047619047619,0.3738095238095238,0.05238095238095238,0.08095238095238096
bmv1-sw04-adaptive-s7,sw04,adaptive,-0.07222222222222219,0.07714285714285714,0.05285714285714285,0.5547619047619048,0.047619047619047616,0.06428571428571428
bmv1-sw04-original-s1,sw04,original,-0.02777777777777779,0.09761904761904762,0.051904761904761905,0.611904761904762,0.040476190476190485,0.1
bmv1-sw04-original-s2026,sw04,original,-0.016666666666666607,0.08333333333333333,0.043809523809523805,0.3047619047619048,0.028571428571428567,0.10714285714285714
bmv1-sw04-original-s21,sw04,original,-0.02777777777777779,0.1019047619047619,0.05571428571428571,0.5166666666666667,0.04047619047619048,0.12857142857142856
bmv1-sw04-original-s42,sw04,original,-0.01666666666666672,0.09380952380952381,0.07857142857142857,0.7833333333333333,0.07857142857142857,0.05238095238095238
bmv1-sw04-original-s7,sw04,original,-0.06666666666666665,0.07714285714285714,0.04285714285714286,0.4523809523809524,0.03571428571428571,0.09047619047619047
bmv1-sw08-adaptive-s1,sw08,adaptive,-0.011111111111111072,0.1680952380952381,0.05571428571428571,0.26666666666666666,0.033333333333333326,0.21666666666666667
bmv1-sw08-adaptive-s2026,sw08,adaptive,-0.05555555555555558,0.16047619047619047,0.05333333333333333,0.15714285714285714,0.02857142857142857,0.1976190476190476
bmv1-sw08-adaptive-s21,sw08,adaptive,-0.02777777777777768,0.16047619047619047,0.09571428571428572,0.5285714285714286,0.06428571428571427,0.15
bmv1-sw08-adaptive-s42,sw08,adaptive,-0.0444444444444444,0.18476190476190477,0.09285714285714286,0.36904761904761907,0.06666666666666667,0.1738095238095238
bmv1-sw08-adaptive-s7,sw08,adaptive,-0.04444444444444451,0.19714285714285715,0.0680952380952381,0.2571428571428571,0.03571428571428571,0.27380952380952384
bmv1-sw08-original-s1,sw08,original,-0.016666666666666607,0.1680952380952381,0.05809523809523809,0.5904761904761905,0.045238095238095244,0.20476190476190476
bmv1-sw08-original-s2026,sw08,original,-0.02777777777777779,0.16047619047619047,0.08714285714285715,0.6404761904761904,0.06904761904761905,0.15
bmv1-sw08-original-s21,sw08,original,-0.05555555555555547,0.16047619047619047,0.06666666666666667,0.7238095238095238,0.047619047619047616,0.16666666666666666
bmv1-sw08-original-s42,sw08,original,-0.0444444444444444,0.18476190476190477,0.04,0.24523809523809523,0.030952380952380953,0.2714285714285714
bmv1-sw08-original-s7,sw08,original,-0.033333333333333326,0.19714285714285715,0.06714285714285714,0.44047619047619047,0.05000000000000001,0.25
bmv1-sw12-adaptive-s1,sw12,adaptive,-0.06666666666666665,0.23095238095238096,0.1280952380952381,0.5571428571428572,0.1357142857142857,0.20714285714285716
bmv1-sw12-adaptive-s2026,sw12,adaptive,0.005555555555555647,0.24428571428571427,0.10333333333333333,0.41904761904761906,0.06904761904761905,0.23095238095238096
bmv1-sw12-adaptive-s21,sw12,adaptive,-0.061111111111111116,0.2538095238095238,0.11285714285714285,0.3738095238095238,0.09523809523809523,0.2523809523809524
bmv1-sw12-adaptive-s42,sw12,adaptive,-0.07777777777777772,0.24142857142857144,0.13380952380952382,0.5214285714285715,0.08333333333333333,0.2357142857142857
bmv1-sw12-adaptive-s7,sw12,adaptive,-0.0888888888888888,0.2571428571428571,0.1380952380952381,0.46190476190476193,0.1357142857142857,0.21428571428571427
bmv1-sw12-original-s1,sw12,original,-0.011111111111111183,0.23095238095238096,0.06952380952380952,0.4452380952380952,0.04761904761904764,0.29285714285714287
bmv1-sw12-original-s2026,sw12,original,-0.0444444444444444,0.24428571428571427,0.05047619047619047,0.29285714285714287,0.030952380952380964,0.3547619047619048
bmv1-sw12-original-s21,sw12,original,-0.0444444444444444,0.2538095238095238,0.054285714285714284,0.25,0.03095238095238096,0.35714285714285715
bmv1-sw12-original-s42,sw12,original,-0.03888888888888886,0.24142857142857144,0.043333333333333335,0.29523809523809524,0.026190476190476198,0.35
bmv1-sw12-original-s7,sw12,original,-0.011111111111111072,0.2571428571428571,0.04857142857142857,0.25,0.03095238095238096,0.3523809523809524
bmv1-xor05-adaptive-s1,xor05,adaptive,-0.050000000000000044,0.08761904761904762,0.053809523809523814,0.3976190476190476,0.030952380952380946,0.08095238095238096
bmv1-xor05-adaptive-s2026,xor05,adaptive,-0.05555555555555558,0.08285714285714285,0.04714285714285714,0.3880952380952381,0.06904761904761905,0.09285714285714286
bmv1-xor05-adaptive-s21,xor05,adaptive,0.005555555555555536,0.06190476190476191,0.03666666666666666,0.5976190476190476,0.047619047619047596,0.03333333333333333
bmv1-xor05-adaptive-s42,xor05,adaptive,-0.022222222222222254,0.06571428571428571,0.03333333333333333,0.4119047619047619,0.02380952380952382,0.09761904761904762
bmv1-xor05-adaptive-s7,xor05,adaptive,-0.050000000000000044,0.08190476190476191,0.04238095238095238,0.6404761904761904,0.02857142857142857,0.09523809523809523
bmv1-xor05-original-s1,xor05,original,0.0,0.08761904761904762,0.08476190476190475,1.0,0.06904761904761904,0.009523809523809525
bmv1-xor05-original-s2026,xor05,original,0.0,0.08285714285714285,0.060476190476190475,1.0,0.05000000000000001,0.009523809523809525
bmv1-xor05-original-s21,xor05,original,0.0,0.06190476190476191,0.05428571428571428,1.0,0.047619047619047616,0.009523809523809525
bmv1-xor05-original-s42,xor05,original,-0.0722222222222223,0.06571428571428571,0.0719047619047619,1.0,0.09523809523809523,0.009523809523809525
bmv1-xor05-original-s7,xor05,original,-0.06666666666666665,0.08190476190476191,0.06904761904761905,0.75,0.07619047619047623,0.047619047619047616
bmv1-xor25-adaptive-s1,xor25,adaptive,-0.061111111111111116,0.24047619047619048,0.11619047619047618,0.6071428571428571,0.08333333333333331,0.23809523809523808
bmv1-xor25-adaptive-s2026,xor25,adaptive,0.0,0.23857142857142857,0.14476190476190476,0.5523809523809524,0.08333333333333333,0.21428571428571427
bmv1-xor25-adaptive-s21,xor25,adaptive,-0.011111111111111072,0.24619047619047618,0.09952380952380951,0.5023809523809524,0.052380952380952375,0.2833333333333333
bmv1-xor25-adaptive-s42,xor25,adaptive,-0.01666666666666672,0.22714285714285715,0.13476190476190478,0.5023809523809524,0.07619047619047618,0.2261904761904762
bmv1-xor25-adaptive-s7,xor25,adaptive,0.011111111111111183,0.27714285714285714,0.27666666666666667,1.0,0.19285714285714287,0.009523809523809525
bmv1-xor25-original-s1,xor25,original,-0.022222222222222143,0.24047619047619048,0.05952380952380952,0.4785714285714286,0.035714285714285726,0.2785714285714286
bmv1-xor25-original-s2026,xor25,original,-0.022222222222222254,0.23857142857142857,0.06952380952380952,0.5476190476190477,0.04523809523809524,0.2714285714285714
bmv1-xor25-original-s21,xor25,original,-0.005555555555555536,0.24619047619047618,0.10238095238095238,0.6166666666666667,0.06666666666666667,0.23333333333333334
bmv1-xor25-original-s42,xor25,original,-0.050000000000000044,0.22714285714285715,0.1180952380952381,0.6642857142857143,0.06904761904761907,0.20238095238095238
bmv1-xor25-original-s7,xor25,original,-0.033333333333333326,0.27714285714285714,0.15333333333333335,0.7142857142857143,0.0880952380952381,0.20952380952380953
