v1_id,v2_id,nearest_center_gap,center_minus_radius_gap,gap_shift,sign_flip,failure_threshold_flip
altv1-cb06-adaptive-s21,altv2-cb06-adaptive-s21,-0.0444444444444444,-0.022222222222222143,0.022222222222222254,0,0
altv1-cb06-adaptive-s42,altv2-cb06-adaptive-s42,0.01666666666666672,0.01666666666666672,0.0,0,0
altv1-cb06-adaptive-s7,altv2-cb06-adaptive-s7,-0.011111111111111183,0.0,0.011111111111111183,1,0
altv1-cb06-original-s1,altv2-cb06-original-s1,0.011111111111111072,0.005555555555555536,-0.005555555555555536,0,0
altv1-cb06-original-s2026,altv2-cb06-original-s2026,-0.01666666666666672,0.022222222222222143,0.03888888888888886,1,0
altv1-cb06-original-s21,altv2-cb06-original-s21,0.03888888888888897,0.033333333333333326,-0.005555555555555647,0,0
altv1-cb06-original-s42,altv2-cb06-original-s42,0.01666666666666672,0.050000000000000044,0.033333333333333326,0,0
altv1-cb06-original-s7,altv2-cb06-original-s7,0.011111111111111072,0.011111111111111072,0.0,0,0
altv1-gx10-adaptive-s1,altv2-gx10-adaptive-s1,0.0,0.0,0.0,0,0
altv1-gx10-adaptive-s2026,altv2-gx10-adaptive-s2026,0.0,0.0,0.0,0,0
altv1-gx10-adaptive-s21,altv2-gx10-adaptive-s21,0.0,0.0,0.0,0,0
altv1-gx10-adaptive-s42,altv2-gx10-adaptive-s42,0.0,0.0,0.0,0,0
altv1-gx10-adaptive-s7,altv2-gx10-adaptive-s7,0.0,0.0,0.0,0,0
altv1-gx10-original-s1,altv2-gx10-original-s1,0.0,0.0,0.0,0,0
altv1-gx10-original-s2026,altv2-gx10-original-s2026,0.0,0.0,0.0,0,0
altv1-gx10-original-s21,altv2-gx10-original-s21,0.0,0.0,0.0,0,0
altv1-gx10-original-s42,altv2-gx10-original-s42,0.0,0.0,0.0,0,0
altv1-gx10-original-s7,altv2-gx10-original-s7,0.0,0.0,0.0,0,0
altv1-gx25-adaptive-s1,altv2-gx25-adaptive-s1,0.0,0.0,0.0,0,0
altv1-gx25-adaptive-s2026,altv2-gx25-adaptive-s2026,0.0,0.0,0.0,0,0
altv1-gx25-adaptive-s21,altv2-gx25-adaptive-s21,0.0,0.0,0.0,0,0
altv1-gx25-adaptive-s42,altv2-gx25-adaptive-s42,0.0,0.0,0.0,0,0
altv1-gx25-adaptive-s7,altv2-gx25-adaptive-s7,0.0,0.0,0.0,0,0
altv1-gx25-original-s1,altv2-gx25-original-s1,0.0,0.0,0.0,0,0
altv1-gx25-original-s2026,altv2-gx25-original-s2026,0.0,0.0,0.0,0,0
altv1-gx25-original-s21,altv2-gx25-original-s21,0.0,0.0,0.0,0,0
altv1-gx25-original-s42,altv2-gx25-original-s42,0.0,0.0,0.0,0,0
altv1-gx25-original-s7,altv2-gx25-original-s7,0.0,0.0,0.0,0,0
altv1-gx40-adaptive-s1,altv2-gx40-adaptive-s1,-0.016666666666666607,0.0,0.016666666666666607,1,0
altv1-gx40-adaptive-s2026,altv2-gx40-adaptive-s2026,-0.033333333333333326,-0.016666666666666607,0.01666666666666672,0,0
altv1-gx40-adaptive-s21,altv2-gx40-adaptive-s21,-0.050000000000000044,-0.033333333333333326,0.01666666666666672,0,1
altv1-gx40-adaptive-s42,altv2-gx40-adaptive-s42,-0.005555555555555536,-0.03888888888888886,-0.033333333333333326,0,0
altv1-gx40-adaptive-s7,altv2-gx40-adaptive-s7,0.0,0.0,0.0,0,0
