experiment_id,dataset,seed,n_clients,method,accuracy,accuracy_drop_vs_raw,ciphertext_count_estimate,communication_bytes,m_over_n,n_prototypes,secure_additions_estimate,secure_multiplications_estimate
secure-aggregation-v1-breast_cancer-s42,breast_cancer,42,10,raw,0.9590643274853801,0.0,3.0,98704.0,1.0,398.0,11940.0,11940.0
secure-aggregation-v1-breast_cancer-s42,breast_cancer,42,20,granular_ball,0.9298245614035088,0.029239766081871288,1.0,15840.0,0.1507537688442211,60.0,1800.0,1800.0
secure-aggregation-v1-breast_cancer-s42,breast_cancer,42,20,kmeans,0.935672514619883,0.023391812865497075,1.0,15840.0,0.1507537688442211,60.0,1800.0,1800.0
secure-aggregation-v1-breast_cancer-s42,breast_cancer,42,20,microcluster,0.847953216374269,0.11111111111111105,1.0,15576.0,0.14824120603015076,59.0,1770.0,1770.0
secure-aggregation-v1-breast_cancer-s42,breast_cancer,42,20,raw,0.9590643274853801,0.0,3.0,98704.0,1.0,398.0,11940.0,11940.0
secure-aggregation-v1-breast_cancer-s2026,breast_cancer,2026,5,granular_ball,0.9181286549707602,0.029239766081871288,1.0,7128.0,0.0678391959798995,27.0,810.0,810.0
secure-aggregation-v1-breast_cancer-s2026,breast_cancer,2026,5,kmeans,0.847953216374269,0.09941520467836251,1.0,7128.0,0.0678391959798995,27.0,810.0,810.0
secure-aggregation-v1-breast_cancer-s2026,breast_cancer,2026,5,microcluster,0.8771929824561403,0.07017543859649122,1.0,7128.0,0.0678391959798995,27.0,810.0,810.0
secure-aggregation-v1-breast_cancer-s2026,breast_cancer,2026,5,raw,0.9473684210526315,0.0,3.0,98704.0,1.0,398.0,11940.0,11940.0
secure-aggregation-v1-breast_cancer-s2026,breast_cancer,2026,10,granular_ball,0.9181286549707602,0.029239766081871288,1.0,7920.0,0.07537688442211055,30.0,900.0,900.0
secure-aggregation-v1-breast_cancer-s2026,breast_cancer,2026,10,kmeans,0.8713450292397661,0.07602339181286544,1.0,7920.0,0.07537688442211055,30.0,900.0,900.0
secure-aggregation-v1-breast_cancer-s2026,breast_cancer,2026,10,microcluster,0.9122807017543859,0.03508771929824561,1.0,7920.0,0.07537688442211055,30.0,900.0,900.0
secure-aggregation-v1-breast_cancer-s2026,breast_cancer,2026,10,raw,0.9473684210526315,0.0,3.0,98704.0,1.0,398.0,11940.0,11940.0
secure-aggregation-v1-breast_cancer-s2026,breast_cancer,2026,20,granular_ball,0.9005847953216374,0.04678362573099415,1.0,20856.0,0.1984924623115578,79.0,2370.0,2370.0
secure-aggregation-v1-breast_cancer-s2026,breast_cancer,2026,20,kmeans,0.9064327485380117,0.040935672514619825,1.0,20856.0,0.1984924623115578,79.0,2370.0,2370.0
secure-aggregation-v1-breast_cancer-s2026,breast_cancer,2026,20,microcluster,0.935672514619883,0.011695906432748537,1.0,20592.0,0.19597989949748743,78.0,2340.0,2340.0
secure-aggregation-v1-breast_cancer-s2026,breast_cancer,2026,20,raw,0.9473684210526315,0.0,3.0,98704.0,1.0,398.0,11940.0,11940.0
secure-aggregation-v1-covertype-s1,covertype,1,5,granular_ball,0.6466666666666666,0.01666666666666672,15.0,488880.0,0.45,630.0,59220.0,59220.0
secure-aggregation-v1-covertype-s1,covertype,1,5,kmeans,0.6466666666666666,0.01666666666666672,15.0,488880.0,0.45,630.0,59220.0,59220.0
secure-aggregation-v1-covertype-s1,covertype,1,5,microcluster,0.6633333333333333,0.0,14.0,461720.0,0.425,595.0,55930.0,55930.0
secure-aggregation-v1-covertype-s1,covertype,1,5,raw,0.6633333333333333,0.0,33.0,1064000.0,1.0,1400.0,131600.0,131600.0
secure-aggregation-v1-covertype-s1,covertype,1,10,granular_ball,0.575,0.08833333333333337,11.0,353080.0,0.325,455.0,42770.0,42770.0
secure-aggregation-v1-covertype-s1,covertype,1,10,kmeans,0.625,0.03833333333333333,11.0,353080.0,0.325,455.0,42770.0,42770.0
secure-aggregation-v1-covertype-s1,covertype,1,10,microcluster,0.6216666666666667,0.04166666666666663,11.0,343768.0,0.31642857142857145,443.0,41642.0,41642.0
secure-aggregation-v1-covertype-s1,covertype,1,10,raw,0.6633333333333333,0.0,33.0,1064000.0,1.0,1400.0,131600.0,131600.0
secure-aggregation-v1-covertype-s1,covertype,1,20,granular_ball,0.5616666666666666,0.10166666666666668,11.0,357736.0,0.3292857142857143,461.0,43334.0,43334.0
secure-aggregation-v1-covertype-s1,covertype,1,20,kmeans,0.5883333333333334,0.07499999999999996,11.0,357736.0,0.3292857142857143,461.0,43334.0,43334.0
secure-aggregation-v1-covertype-s1,covertype,1,20,microcluster,0.5916666666666667,0.07166666666666666,11.0,346096.0,0.31857142857142856,446.0,41924.0,41924.0
secure-aggregation-v1-covertype-s1,covertype,1,20,raw,0.6633333333333333,0.0,33.0,1064000.0,1.0,1400.0,131600.0,131600.0
secure-aggregation-v1-covertype-s7,covertype,7,5,granular_ball,0.6166666666666667,0.02833333333333332,16.0,513024.0,0.47714285714285715,668.0,62124.0,62124.0
secure-aggregation-v1-covertype-s7,covertype,7,5,kmeans,0.6316666666666667,0.013333333333333308,16.0,513024.0,0.47714285714285715,668.0,62124.0,62124.0
secure-aggregation-v1-covertype-s7,covertype,7,5,microcluster,0.6366666666666667,0.008333333333333304,15.0,483840.0,0.45,630.0,58590.0,58590.0
secure-aggregation-v1-covertype-s7,covertype,7,5,raw,0.645,0.0,32.0,1052800.0,1.0,1400.0,130200.0,130200.0
secure-aggregation-v1-covertype-s7,covertype,7,10,granular_ball,0.575,0.07000000000000006,11.0,370944.0,0.345,483.0,44919.0,44919.0
secure-aggregation-v1-covertype-s7,covertype,7,10,kmeans,0.6183333333333333,0.026666666666666727,11.0,370944.0,0.345,483.0,44919.0,44919.0
secure-aggregation-v1-covertype-s7,covertype,7,10,microcluster,0.5883333333333334,0.05666666666666664,11.0,358656.0,0.3335714285714286,467.0,43431.0,43431.0
secure-aggregation-v1-covertype-s7,covertype,7,10,raw,0.645,0.0,32.0,1052800.0,1.0,1400.0,130200.0,130200.0
secure-aggregation-v1-covertype-s7,covertype,7,20,granular_ball,0.6133333333333333,0.03166666666666673,12.0,379392.0,0.35285714285714287,494.0,45942.0,45942.0
secure-aggregation-v1-covertype-s7,covertype,7,20,kmeans,0.6666666666666666,-0.021666666666666612,12.0,379392.0,0.35285714285714287,494.0,45942.0,45942.0
secure-aggregation-v1-covertype-s7,covertype,7,20,microcluster,0.6533333333333333,-0.008333333333333304,11.0,359424.0,0.3342857142857143,468.0,43524.0,43524.0
secure-aggregation-v1-covertype-s7,covertype,7,20,raw,0.645,0.0,32.0,1052800.0,1.0,1400.0,130200.0,130200.0
secure-aggregation-v1-covertype-s21,covertype,21,5,granular_ball,0.5116666666666667,0.1316666666666666,9.0,292608.0,0.27214285714285713,381.0,35433.0,35433.0
secure-aggregation-v1-covertype-s21,covertype,21,5,kmeans,0.5866666666666667,0.05666666666666664,9.0,292608.0,0.27214285714285713,381.0,35433.0,35433.0
secure-aggregation-v1-covertype-s21,covertype,21,5,microcluster,0.585,0.05833333333333335,9.0,286464.0,0.2664285714285714,373.0,34689.0,34689.0
secure-aggregation-v1-covertype-s21,covertype,21,5,raw,0.6433333333333333,0.0,32.0,1052800.0,1.0,1400.0,130200.0,130200.0
secure-aggregation-v1-covertype-s21,covertype,21,10,granular_ball,0.6066666666666667,0.036666666666666625,12.0,380160.0,0.3535714285714286,495.0,46035.0,46035.0
secure-aggregation-v1-covertype-s21,covertype,21,10,kmeans,0.6183333333333333,0.025000000000000022,12.0,380160.0,0.3535714285714286,495.0,46035.0,46035.0
secure-aggregation-v1-covertype-s21,covertype,21,10,microcluster,0.64,0.0033333333333332993,11.0,370944.0,0.345,483.0,44919.0,44919.0
secure-aggregation-v1-covertype-s21,covertype,21,10,raw,0.6433333333333333,0.0,32.0,1052800.0,1.0,1400.0,130200.0,130200.0
secure-aggregation-v1-covertype-s21,covertype,21,20,granular_ball,0.5566666666666666,0.08666666666666667,13.0,407808.0,0.3792857142857143,531.0,49383.0,49383.0
secure-aggregation-v1-covertype-s21,covertype,21,20,kmeans,0.5633333333333334,0.07999999999999996,13.0,407808.0,0.3792857142857143,531.0,49383.0,49383.0
secure-aggregation-v1-covertype-s21,covertype,21,20,microcluster,0.6016666666666667,0.04166666666666663,12.0,391680.0,0.36428571428571427,510.0,47430.0,47430.0
secure-aggregation-v1-covertype-s21,covertype,21,20,raw,0.6433333333333333,0.0,32.0,1052800.0,1.0,1400.0,130200.0,130200.0
secure-aggregation-v1-covertype-s42,covertype,42,5,granular_ball,0.6366666666666667,0.033333333333333326,15.0,487328.0,0.44857142857142857,628.0,59032.0,59032.0
secure-aggregation-v1-covertype-s42,covertype,42,5,kmeans,0.675,-0.0050000000000000044,15.0,487328.0,0.44857142857142857,628.0,59032.0,59032.0
secure-aggregation-v1-covertype-s42,covertype,42,5,microcluster,0.65,0.020000000000000018,14.0,465600.0,0.42857142857142855,600.0,56400.0,56400.0
secure-aggregation-v1-covertype-s42,covertype,42,5,raw,0.67,0.0,33.0,1064000.0,1.0,1400.0,131600.0,131600.0
secure-aggregation-v1-covertype-s42,covertype,42,10,granular_ball,0.5883333333333334,0.08166666666666667,10.0,305744.0,0.2814285714285714,394.0,37036.0,37036.0
secure-aggregation-v1-covertype-s42,covertype,42,10,kmeans,0.605,0.06500000000000006,10.0,305744.0,0.2814285714285714,394.0,37036.0,37036.0
secure-aggregation-v1-covertype-s42,covertype,42,10,microcluster,0.6066666666666667,0.06333333333333335,9.0,296432.0,0.27285714285714285,382.0,35908.0,35908.0
secure-aggregation-v1-covertype-s42,covertype,42,10,raw,0.67,0.0,33.0,1064000.0,1.0,1400.0,131600.0,131600.0
secure-aggregation-v1-covertype-s42,covertype,42,20,granular_ball,0.5783333333333334,0.09166666666666667,13.0,439216.0,0.4042857142857143,566.0,53204.0,53204.0
secure-aggregation-v1-covertype-s42,covertype,42,20,kmeans,0.64,0.030000000000000027,13.0,439216.0,0.4042857142857143,566.0,53204.0,53204.0
secure-aggregation-v1-covertype-s42,covertype,42,20,microcluster,0.6216666666666667,0.04833333333333334,13.0,419816.0,0.38642857142857145,541.0,50854.0,50854.0
