experiment_id,dataset,seed,method,n_groups,purity_threshold,variant,attribute_accuracy,attribute_auc,attribute_macro_f1,ball_size_attack_spearman,compression_ratio,distribution_wasserstein,membership_accuracy,membership_pr_auc,membership_roc_auc,purity_attack_spearman,radius_attack_spearman,reconstruction_mse,reconstruction_nn_distance,utility_accuracy,utility_macro_f1
privacy-anti-gb-v1-adult-s7,adult,7,random,238,0.9,matched_full,0.687,0.7047270655270655,0.6613928329952671,0.20031876436550425,0.238,0.13744535487453519,0.505,0.49837504072777816,0.496734,-0.04083055332999326,-0.18349476325576677,0.20762403605247473,4.357532201177852,0.649,0.6119484499496417
privacy-anti-gb-v1-adult-s7,adult,7,tree,116,0.9,matched_full,0.718,0.7742290598290599,0.7022489705416535,-0.5001739577065406,0.116,0.07406644936451773,0.5645,0.6058884501218089,0.574853,-0.3974521704845997,-0.45003758499333724,0.07696943164282931,2.557213857819508,0.763,0.712531794347429
privacy-anti-gb-v1-adult-s7,adult,7,granular_ball,338,0.95,R8_center_radius_count_purity,0.865,0.8799635327635328,0.849275012811624,-0.39072287037305853,0.338,0.03726963253654835,0.565,0.7578327859326625,0.7717350000000001,0.1760647186164404,-0.40557975782734507,0.029637625879267614,1.4200773601279817,0.812,0.7073456248170911
privacy-anti-gb-v1-adult-s7,adult,7,hierarchical,338,0.95,matched_full,0.978,0.9761527065527066,0.9749685969671043,-0.4886848238658665,0.338,0.018163925444969215,0.536,0.7920555762390409,0.7775945,0.17542626566877242,-0.42094443321678704,0.013747343744871384,1.0572220183651095,0.781,0.6646653773892592
privacy-anti-gb-v1-adult-s7,adult,7,hierarchical_average,338,0.95,matched_full,0.957,0.9580923076923077,0.9511904424075599,-0.5677882668340841,0.338,0.02118890425450996,0.579,0.7541489459673575,0.7628335,0.19781306958864758,-0.5728888873363203,0.01590552198502093,1.0814842719756816,0.791,0.7171390714853176
privacy-anti-gb-v1-adult-s7,adult,7,hierarchical_complete,338,0.95,matched_full,0.971,0.966614245014245,0.9669778717579957,-0.4668466017582217,0.338,0.01952999174200592,0.551,0.8178456309207597,0.8438325,0.14211532688112738,-0.5140965584339875,0.014507136185454206,1.0762781344215162,0.811,0.7286038607177782
privacy-anti-gb-v1-adult-s7,adult,7,kmeans,338,0.95,R4_center_radius_count,0.954,0.951074643874644,0.9479873360470376,-0.45925333070472035,0.338,0.019276027643639997,0.552,0.8090466864103318,0.8330119999999999,0.171308331355241,-0.5165744701660712,0.015165162458569421,1.0707346882031763,0.812,0.729611561119293
privacy-anti-gb-v1-adult-s7,adult,7,kmeans_tuned,338,0.95,matched_full,0.964,0.9608136752136753,0.959168118466899,-0.5293277948557897,0.338,0.018859437871107925,0.5555,0.7437038483799647,0.7574605000000001,0.21132772696448426,-0.5327617674750563,0.015032092093333909,1.0662033160778253,0.801,0.6995949815756621
privacy-anti-gb-v1-adult-s7,adult,7,knn_local_prototypes,338,0.95,matched_full,0.945,0.941499715099715,0.9372718262680501,-0.5181123961658096,0.338,0.02228041555483638,0.5655,0.8025613369805731,0.8195815,0.2348704739973839,-0.5248481409758714,0.016869629920494726,1.1353424539297934,0.791,0.7155591847844578
privacy-anti-gb-v1-adult-s7,adult,7,oracle_supervised,338,0.95,matched_full,0.943,0.943785754985755,0.9360813852173064,-0.4848304923596316,0.338,0.020778825293771095,0.552,0.7926649250717689,0.8045155,,-0.48399310298989284,0.016068068127323903,1.1081515465647642,0.764,0.6948633608473489
privacy-anti-gb-v1-adult-s7,adult,7,random,338,0.95,matched_full,0.593,0.7596763532763533,0.5929670303294567,-0.2783833511728222,0.338,0.12371062134818755,0.5295,0.5492436194272525,0.547801,-0.30802616696272805,-0.20319053422501696,0.2649823189442043,4.797078736954145,0.653,0.6158440526127587
