experiment_id,dataset,seed,method,variant,n_groups,attribute_accuracy,attribute_auc,attribute_macro_f1,ball_size_attack_spearman,compression_ratio,distribution_wasserstein,membership_accuracy,membership_pr_auc,membership_roc_auc,purity_attack_spearman,radius_attack_spearman,reconstruction_mse,reconstruction_nn_distance,utility_accuracy,utility_macro_f1
privacy-leakage-v1-covertype-s21,covertype,21,hierarchical,matched_full,516,0.965,0.965769452311237,0.9649996849971649,-0.10123505858911785,0.516,0.0039010177054825752,0.615,0.7922333703310871,0.8446805000000001,0.011946216541971874,-0.10352020656390318,0.005189315167954528,0.5844648432541766,0.65,0.48962551206537425
privacy-leakage-v1-covertype-s21,covertype,21,kmeans,R1_center,516,0.964,0.9619893918302693,0.9639998559994241,-0.887602444848277,0.516,0.004139906982620673,0.851,0.9207373228052337,0.923473,0.5509238864798504,-0.9193294369477847,0.005745267355745596,0.5873733376329129,0.673,0.5445412512623975
privacy-leakage-v1-covertype-s21,covertype,21,kmeans,R2_center_count,516,0.964,0.9619893918302693,0.9639998559994241,-0.810815092690567,0.516,0.004139906982620673,0.8635,0.9250957526077014,0.9380120000000001,0.5075638231226695,-0.8851925195955633,0.005745267355745596,0.5873733376329129,0.673,0.5445412512623975
privacy-leakage-v1-covertype-s21,covertype,21,kmeans,R3_center_radius,516,0.964,0.9619893918302693,0.9639998559994241,-0.4813873028160232,0.516,0.004132307869334039,0.607,0.9002177135572202,0.9023964999999998,0.2824167908031515,-0.4703999652720249,0.005777251068641277,0.5885222834321894,0.666,0.5149855545591527
privacy-leakage-v1-covertype-s21,covertype,21,kmeans,R4_center_radius_count,516,0.964,0.9619893918302693,0.9639998559994241,-0.4806012492233167,0.516,0.004132307869334039,0.607,0.9002086946949321,0.9023909999999999,0.2815617684921374,-0.47006609614453865,0.005777251068641277,0.5885222834321894,0.666,0.5149855545591527
privacy-leakage-v1-covertype-s21,covertype,21,random,matched_full,516,0.693,0.7487699803196851,0.6869515917032994,0.3969712761587269,0.516,0.0796434310983764,0.512,0.5430864857723271,0.527571,-0.171702107644748,0.5340220496145838,0.0940245851830803,2.8829387561062747,0.459,0.14651094183698785
privacy-leakage-v1-covertype-s21,covertype,21,raw,R0_raw_samples,1000,1.0,1.0,1.0,,1.0,0.0,0.9925,0.9999089834314279,0.999912,,,0.0,0.0,0.654,0.53795741668925
privacy-leakage-v1-covertype-s21,covertype,21,tree,matched_full,194,0.766,0.7658842541480664,0.7658417089952808,-0.2871478044565985,0.194,0.055967353838422364,0.594,0.626243453295819,0.627149,-0.2175683971280641,-0.6226126814362107,0.06880269195994526,2.392702062762129,0.572,0.3507700766699955
privacy-leakage-v1-covertype-s42,covertype,42,granular_ball,R5_center,523,0.923,0.9285217140868564,0.9229259318204794,-0.7726132712696437,0.523,0.010783192475067762,0.7695,0.857635137190901,0.8450209999999999,0.3600826152219578,-0.8259809078061618,0.011615292347244673,0.8122084125144531,0.599,0.3594041454531518
privacy-leakage-v1-covertype-s42,covertype,42,granular_ball,R6_center_radius,523,0.923,0.9285217140868564,0.9229259318204794,-0.26232044505331803,0.523,0.012477332942000964,0.5915,0.8393897821411682,0.839685,0.18152362995197638,-0.26138232488058016,0.01288813644024079,0.8478454415930694,0.624,0.3097011610966071
privacy-leakage-v1-covertype-s42,covertype,42,granular_ball,R7_center_radius_count,523,0.923,0.9285217140868564,0.9229259318204794,-0.26232044505331803,0.523,0.012477332942000964,0.5915,0.8393897821411682,0.839685,0.18152362995197638,-0.26138232488058016,0.01288813644024079,0.8478454415930694,0.624,0.3097011610966071
