experiment_id,clients,alpha,seed,uniform_to_oracle_regret,estimated_to_oracle_nearest_regret,marginal_value_variance
v2fed-digits-c20-a030-s1,20,0.3,1,0.015185185185185194,0.017777777777777802,6.074089768416267e-08
v2fed-digits-c20-a030-s2026,20,0.3,2026,0.01444444444444443,0.03111111111111107,5.3258101784351346e-08
v2fed-digits-c20-a030-s21,20,0.3,21,0.008148148148148134,0.011111111111111094,6.288070837129763e-08
v2fed-digits-c20-a030-s42,20,0.3,42,0.01296296296296296,0.027222222222222238,2.627673673786737e-08
v2fed-digits-c20-a030-s7,20,0.3,7,0.011203703703703709,0.02444444444444447,4.956855069660219e-08
v2fed-digits-c20-a100-s1,20,1.0,1,0.0062962962962962886,0.015555555555555545,1.5293266426325303e-08
v2fed-digits-c20-a100-s2026,20,1.0,2026,0.012685185185185181,0.023888888888888894,2.1644304462779514e-08
v2fed-digits-c20-a100-s21,20,1.0,21,0.013425925925925907,0.02777777777777779,1.794441954485695e-08
v2fed-digits-c20-a100-s42,20,1.0,42,0.016388888888888873,0.028888888888888853,2.747124124127452e-08
v2fed-digits-c20-a100-s7,20,1.0,7,0.012499999999999995,0.02944444444444443,4.299023929803681e-08
v2fed-digits-c5-a005-s1,5,0.05,1,0.008796296296296299,0.006111111111111111,7.036853130888103e-08
v2fed-digits-c5-a005-s2026,5,0.05,2026,0.008981481481481483,0.008333333333333349,2.901631952000723e-08
v2fed-digits-c5-a005-s21,5,0.05,21,0.010833333333333339,0.0033333333333333214,1.0964531255709469e-07
v2fed-digits-c5-a005-s42,5,0.05,42,0.014907407407407399,0.005555555555555536,7.251676975898587e-08
v2fed-digits-c5-a005-s7,5,0.05,7,0.006851851851851864,0.012222222222222223,1.8446963921537318e-08
v2fed-digits-c5-a010-s1,5,0.1,1,0.024629629629629644,0.010555555555555563,2.9204665266016826e-08
v2fed-digits-c5-a010-s2026,5,0.1,2026,0.014907407407407402,0.0016666666666666607,4.543931307985032e-08
v2fed-digits-c5-a010-s21,5,0.1,21,0.0054629629629629655,0.009444444444444432,9.688843589414998e-09
v2fed-digits-c5-a010-s42,5,0.1,42,0.010000000000000002,0.00555555555555558,4.443517727211372e-08
v2fed-digits-c5-a010-s7,5,0.1,7,0.011851851851851858,0.001666666666666683,1.0612086305645809e-07
v2fed-digits-c5-a030-s1,5,0.3,1,0.009814814814814828,0.017777777777777826,1.6402332669165462e-08
v2fed-digits-c5-a030-s2026,5,0.3,2026,0.00990740740740742,0.01888888888888891,7.391394195239242e-09
v2fed-digits-c5-a030-s21,5,0.3,21,0.009907407407407401,0.007222222222222241,4.444968329564103e-09
v2fed-digits-c5-a030-s42,5,0.3,42,0.004814814814814813,0.007222222222222218,1.3967558064495551e-08
v2fed-digits-c5-a030-s7,5,0.3,7,0.006018518518518534,0.02055555555555555,6.46674254357058e-09
v2fed-digits-c5-a100-s1,5,1.0,1,0.006111111111111097,0.014444444444444416,2.2574382392273236e-09
v2fed-digits-c5-a100-s2026,5,1.0,2026,0.009351851851851863,0.020000000000000018,5.789963738331073e-09
v2fed-digits-c5-a100-s21,5,1.0,21,0.00740740740740741,0.006666666666666665,1.0777975652280603e-08
v2fed-digits-c5-a100-s42,5,1.0,42,0.009537037037037037,0.010555555555555563,7.002234939581564e-10
v2fed-digits-c5-a100-s7,5,1.0,7,0.00796296296296296,0.011111111111111117,1.5585774923120318e-08
