dataset,seed,method,score,target_coverage,threshold,test_coverage,test_risk
breast_cancer,1,gb_adaptive_parameter_free,laplace_purity,0.8,0.7777777777777778,0.7641509433962265,0.012345679012345734
breast_cancer,1,gb_adaptive_parameter_free,laplace_purity,0.9,0.5,0.9716981132075472,0.03883495145631066
breast_cancer,1,gb_adaptive_parameter_free,wilson_lower,0.8,0.4728708045015879,0.7641509433962265,0.012345679012345734
breast_cancer,1,gb_adaptive_parameter_free,wilson_lower,0.9,0.15002824080667998,0.9811320754716981,0.038461538461538436
breast_cancer,7,gb_fixed_p090,train_purity,0.8,0.9066666666666666,1.0,0.07017543859649122
breast_cancer,7,gb_fixed_p090,train_purity,0.9,0.9066666666666666,1.0,0.07017543859649122
breast_cancer,7,gb_fixed_p090,cal_purity,0.8,0.9523809523809523,1.0,0.07017543859649122
breast_cancer,7,gb_fixed_p090,cal_purity,0.9,0.9523809523809523,1.0,0.07017543859649122
breast_cancer,7,gb_fixed_p090,laplace_purity,0.8,0.9318181818181818,0.9298245614035088,0.07547169811320753
breast_cancer,7,gb_fixed_p090,laplace_purity,0.9,0.9318181818181818,0.9298245614035088,0.07547169811320753
breast_cancer,7,gb_fixed_p090,wilson_lower,0.8,0.8607313850988256,0.9298245614035088,0.07547169811320753
breast_cancer,7,gb_fixed_p090,wilson_lower,0.9,0.8607313850988256,0.9298245614035088,0.07547169811320753
breast_cancer,7,gb_adaptive_parameter_free,train_purity,0.8,1.0,0.8679245283018868,0.03260869565217395
breast_cancer,7,gb_adaptive_parameter_free,train_purity,0.9,1.0,0.8679245283018868,0.03260869565217395
breast_cancer,7,gb_adaptive_parameter_free,cal_purity,0.8,1.0,0.9716981132075472,0.03883495145631066
breast_cancer,7,gb_adaptive_parameter_free,cal_purity,0.9,1.0,0.9716981132075472,0.03883495145631066
breast_cancer,7,gb_adaptive_parameter_free,laplace_purity,0.8,0.75,0.8207547169811321,0.04597701149425293
breast_cancer,7,gb_adaptive_parameter_free,laplace_purity,0.9,0.6666666666666666,0.9811320754716981,0.038461538461538436
breast_cancer,7,gb_adaptive_parameter_free,wilson_lower,0.8,0.3684031498640387,0.8207547169811321,0.04597701149425293
