source_dataset_id,task_id,parent_dataset,outer_seed,shadow_release_count,target_release_id,attack_protocol,method,release,attack,threshold,candidate_pool_size,negative_count,number_of_balls,small_ball_ratio,loader_note,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
uci-51,uci-51_labeled_train_validation,uci-51,1,6,3,real_independent_shadow_target_cross_release,matched_kmeans,release_2,random_forest,0.9,1200,600,35,0.22857142857142856,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5502833333333335,0.5497160319132158,0.021666666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,4,real_independent_shadow_target_cross_release,granular_ball,release_2,logistic,0.9,1200,600,32,0.3125,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5683236111111111,0.5596870829331876,0.03,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,4,real_independent_shadow_target_cross_release,granular_ball,release_2,random_forest,0.9,1200,600,32,0.3125,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5842083333333333,0.5789161717276854,0.03166666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,4,real_independent_shadow_target_cross_release,matched_kmeans,release_2,logistic,0.9,1200,600,32,0.28125,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5662875,0.5617235388454529,0.041666666666666664,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,4,real_independent_shadow_target_cross_release,matched_kmeans,release_2,random_forest,0.9,1200,600,32,0.28125,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5790152777777777,0.5823252440727715,0.021666666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,0,real_independent_shadow_target_cross_release,granular_ball,release_3,logistic,0.9,1200,600,20,0.2,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5331027777777778,0.5354581151303294,0.011666666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,0,real_independent_shadow_target_cross_release,granular_ball,release_3,random_forest,0.9,1200,600,20,0.2,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5346291666666667,0.5427675893291666,0.028333333333333332,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,0,real_independent_shadow_target_cross_release,matched_kmeans,release_3,logistic,0.9,1200,600,20,0.2,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5441680555555556,0.5401572363204539,0.025,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,0,real_independent_shadow_target_cross_release,matched_kmeans,release_3,random_forest,0.9,1200,600,20,0.2,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5478194444444445,0.5499839552371476,0.04,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,1,real_independent_shadow_target_cross_release,granular_ball,release_3,logistic,0.9,1200,600,34,0.23529411764705882,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5450027777777777,0.5660236765073845,0.03333333333333333,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,1,real_independent_shadow_target_cross_release,granular_ball,release_3,random_forest,0.9,1200,600,34,0.23529411764705882,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5483888888888888,0.5675080694405726,0.03333333333333333,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,1,real_independent_shadow_target_cross_release,matched_kmeans,release_3,logistic,0.9,1200,600,34,0.08823529411764706,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5408888888888889,0.5666721447536718,0.03833333333333333,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,1,real_independent_shadow_target_cross_release,matched_kmeans,release_3,random_forest,0.9,1200,600,34,0.08823529411764706,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.575576388888889,0.578300760348138,0.021666666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,2,real_independent_shadow_target_cross_release,granular_ball,release_3,logistic,0.9,1200,600,32,0.25,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5508388888888889,0.549921249212121,0.015,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,2,real_independent_shadow_target_cross_release,granular_ball,release_3,random_forest,0.9,1200,600,32,0.25,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5627166666666666,0.5729457475123543,0.02666666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,2,real_independent_shadow_target_cross_release,matched_kmeans,release_3,logistic,0.9,1200,600,32,0.15625,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5494222222222221,0.5463925968634421,0.011666666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,2,real_independent_shadow_target_cross_release,matched_kmeans,release_3,random_forest,0.9,1200,600,32,0.15625,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5555930555555555,0.5706391980051249,0.02666666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,3,real_independent_shadow_target_cross_release,granular_ball,release_3,logistic,0.9,1200,600,35,0.3142857142857143,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5674194444444445,0.5746143542639657,0.03,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,3,real_independent_shadow_target_cross_release,granular_ball,release_3,random_forest,0.9,1200,600,35,0.3142857142857143,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5361402777777777,0.5501736336451641,0.03666666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,3,real_independent_shadow_target_cross_release,matched_kmeans,release_3,logistic,0.9,1200,600,35,0.22857142857142856,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.555998611111111,0.5534151426608014,0.02,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,3,real_independent_shadow_target_cross_release,matched_kmeans,release_3,random_forest,0.9,1200,600,35,0.22857142857142856,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5546041666666667,0.5544563121531201,0.03833333333333333,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,4,real_independent_shadow_target_cross_release,granular_ball,release_3,logistic,0.9,1200,600,32,0.3125,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5677763888888888,0.5628180371506437,0.028333333333333332,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,4,real_independent_shadow_target_cross_release,granular_ball,release_3,random_forest,0.9,1200,600,32,0.3125,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5770402777777778,0.5739801846976743,0.028333333333333332,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,4,real_independent_shadow_target_cross_release,matched_kmeans,release_3,logistic,0.9,1200,600,32,0.28125,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5615097222222223,0.5620747793701559,0.013333333333333334,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,4,real_independent_shadow_target_cross_release,matched_kmeans,release_3,random_forest,0.9,1200,600,32,0.28125,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.6075277777777778,0.6087767449899578,0.056666666666666664,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,0,real_independent_shadow_target_cross_release,granular_ball,release_1,logistic,0.95,1200,600,35,0.2571428571428571,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5613180555555556,0.5566852848540262,0.02,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,0,real_independent_shadow_target_cross_release,granular_ball,release_1,random_forest,0.95,1200,600,35,0.2571428571428571,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5266013888888889,0.529857760469474,0.016666666666666666,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,0,real_independent_shadow_target_cross_release,matched_kmeans,release_1,logistic,0.95,1200,600,35,0.2571428571428571,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5569041666666666,0.5519006442083216,0.018333333333333333,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,0,real_independent_shadow_target_cross_release,matched_kmeans,release_1,random_forest,0.95,1200,600,35,0.2571428571428571,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5166236111111111,0.5188996201206653,0.025,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,1,real_independent_shadow_target_cross_release,granular_ball,release_1,logistic,0.95,1200,600,34,0.23529411764705882,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5368194444444444,0.548698734483505,0.021666666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,1,real_independent_shadow_target_cross_release,granular_ball,release_1,random_forest,0.95,1200,600,34,0.23529411764705882,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.47905277777777777,0.5165352762258073,0.02666666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,1,real_independent_shadow_target_cross_release,matched_kmeans,release_1,logistic,0.95,1200,600,34,0.08823529411764706,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5486833333333333,0.5631801399577931,0.035,
