source_dataset_id,task_id,parent_dataset,outer_seed,shadow_release_count,target_release_id,attack_protocol,method,release,attack,threshold,candidate_pool_size,negative_count,reference_group_count,shadow_group_count,target_group_count,number_of_balls,small_ball_ratio,loader_note,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
uci-253,micromass_pure_species,MicroMass,1,6,2,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_1,logistic,0.9,228,128,44,81,88,35,0.9714285714285714,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.761640625,0.7577483751124311,0.35,
uci-253,micromass_pure_species,MicroMass,1,6,2,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_1,random_forest,0.9,228,128,44,81,88,35,0.9714285714285714,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7226953125,0.7179630606401183,0.35,
uci-253,micromass_pure_species,MicroMass,1,6,2,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_2,logistic,0.9,228,128,44,81,88,35,0.9714285714285714,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.721640625,0.7098912295564126,0.28,
uci-253,micromass_pure_species,MicroMass,1,6,2,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_2,random_forest,0.9,228,128,44,81,88,35,0.9714285714285714,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.782109375,0.7736089621862121,0.37,
uci-253,micromass_pure_species,MicroMass,1,6,2,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_2,logistic,0.9,228,128,44,81,88,35,0.9714285714285714,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7165625,0.7084813928587665,0.28,
uci-253,micromass_pure_species,MicroMass,1,6,2,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_2,random_forest,0.9,228,128,44,81,88,35,0.9714285714285714,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7321484375,0.7400238524866644,0.34,
uci-253,micromass_pure_species,MicroMass,1,6,2,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_3,logistic,0.9,228,128,44,81,88,35,0.9714285714285714,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7634375,0.7414459707899019,0.13,
uci-253,micromass_pure_species,MicroMass,1,6,2,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_3,random_forest,0.9,228,128,44,81,88,35,0.9714285714285714,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.796640625,0.7864652240471148,0.38,
uci-253,micromass_pure_species,MicroMass,1,6,2,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_3,logistic,0.9,228,128,44,81,88,35,0.9714285714285714,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.73265625,0.719056302485857,0.17,
uci-253,micromass_pure_species,MicroMass,1,6,2,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_3,random_forest,0.9,228,128,44,81,88,35,0.9714285714285714,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.746484375,0.741047126393769,0.35,
uci-253,micromass_pure_species,MicroMass,1,6,3,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_1,logistic,0.9,228,119,44,81,88,33,0.9696969696969697,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7411918895998767,0.7601717710525023,0.28440366972477066,
uci-253,micromass_pure_species,MicroMass,1,6,3,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_1,random_forest,0.9,228,119,44,81,88,33,0.9696969696969697,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7303985814509291,0.7462716154742757,0.25688073394495414,
uci-253,micromass_pure_species,MicroMass,1,6,3,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_1,logistic,0.9,228,119,44,81,88,33,0.9696969696969697,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7103538663171691,0.7307261829317608,0.25688073394495414,
uci-253,micromass_pure_species,MicroMass,1,6,3,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_1,random_forest,0.9,228,119,44,81,88,33,0.9696969696969697,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7006398889831162,0.71902177209995,0.30275229357798167,
uci-253,micromass_pure_species,MicroMass,1,6,3,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_2,logistic,0.9,228,119,44,81,88,33,0.9696969696969697,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.6867627785058978,0.7005490214713697,0.22018348623853212,
uci-253,micromass_pure_species,MicroMass,1,6,3,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_2,random_forest,0.9,228,119,44,81,88,33,0.9696969696969697,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7596561560403978,0.7671375024341944,0.3119266055045872,
uci-253,micromass_pure_species,MicroMass,1,6,3,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_2,logistic,0.9,228,119,44,81,88,33,0.9696969696969697,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.6866856834476911,0.70494049511321,0.22935779816513763,
uci-253,micromass_pure_species,MicroMass,1,6,3,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_2,random_forest,0.9,228,119,44,81,88,33,0.9696969696969697,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7716058900624471,0.7737896378496363,0.29357798165137616,
uci-253,micromass_pure_species,MicroMass,1,6,3,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_3,logistic,0.9,228,119,44,81,88,33,0.9696969696969697,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7167527561483309,0.7374766075632606,0.28440366972477066,
uci-253,micromass_pure_species,MicroMass,1,6,3,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_3,random_forest,0.9,228,119,44,81,88,33,0.9696969696969697,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7335209313083032,0.7460515087864414,0.3211009174311927,
uci-253,micromass_pure_species,MicroMass,1,6,3,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_3,logistic,0.9,228,119,44,81,88,33,0.9696969696969697,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.702721455554699,0.7268026423143948,0.26605504587155965,
uci-253,micromass_pure_species,MicroMass,1,6,3,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_3,random_forest,0.9,228,119,44,81,88,33,0.9696969696969697,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7688690154961066,0.7730077920910483,0.30275229357798167,
uci-253,micromass_pure_species,MicroMass,1,6,4,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_1,logistic,0.9,228,120,44,81,88,31,0.967741935483871,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7070216049382716,0.7170000849023797,0.18518518518518517,
uci-253,micromass_pure_species,MicroMass,1,6,4,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_1,random_forest,0.9,228,120,44,81,88,31,0.967741935483871,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.6741126543209877,0.6881701586244725,0.2777777777777778,
uci-253,micromass_pure_species,MicroMass,1,6,4,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_1,logistic,0.9,228,120,44,81,88,31,0.967741935483871,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7000771604938272,0.7101807441027889,0.18518518518518517,
uci-253,micromass_pure_species,MicroMass,1,6,4,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_1,random_forest,0.9,228,120,44,81,88,31,0.967741935483871,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7391975308641976,0.7489966859389815,0.26851851851851855,
uci-253,micromass_pure_species,MicroMass,1,6,4,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_2,logistic,0.9,228,120,44,81,88,31,0.967741935483871,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.6808641975308642,0.6948596247444035,0.2037037037037037,
