dataset,source,seed,threshold,release,method,attack,n,d,classes,number_of_balls,mean_ball_size,median_ball_size,min_ball_size,max_ball_size,singleton_count,fraction_size_le_2,fraction_size_le_5,mean_radius,median_radius,purity_mean,purity_median,purity_q25,purity_q75,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
breast_cancer,sklearn.load_breast_cancer,1,0.8,release_3,granular_ball,logistic,569,30,2,2,142.0,142.0,86,198,0,0.0,0.0,4.349237531197048,4.349237531197048,0.9244773314540757,0.9244773314540757,0.9041578576462298,0.9447968052619216,0.46713201745685384,0.49279364325387565,0.017605633802816902,nan
breast_cancer,sklearn.load_breast_cancer,1,0.8,release_3,granular_ball,random_forest,569,30,2,2,142.0,142.0,86,198,0,0.0,0.0,4.349237531197048,4.349237531197048,0.9244773314540757,0.9244773314540757,0.9041578576462298,0.9447968052619216,0.5372321959928585,0.527787038426404,0.0,nan
breast_cancer,sklearn.load_breast_cancer,1,0.8,release_3,matched_kmeans,logistic,569,30,2,2,142.0,142.0,91,193,0,0.0,0.0,4.33114798986035,4.33114798986035,0.9045436428856118,0.9045436428856118,0.8952770027899561,0.9138102829812675,0.46555742908153147,0.48258836474180644,0.01056338028169014,nan
breast_cancer,sklearn.load_breast_cancer,1,0.8,release_3,matched_kmeans,random_forest,569,30,2,2,142.0,142.0,91,193,0,0.0,0.0,4.33114798986035,4.33114798986035,0.9045436428856118,0.9045436428856118,0.8952770027899561,0.9138102829812675,0.5252554056734775,0.52466231428344,0.0,nan
breast_cancer,sklearn.load_breast_cancer,1,0.9,release_1,granular_ball,logistic,569,30,2,13,21.846153846153847,3.0,1,91,1,0.38461538461538464,0.6153846153846154,1.9669289668144572,1.862836019759863,0.9857993080264996,1.0,0.978021978021978,1.0,0.5477831779408847,0.5632040265968443,0.02464788732394366,nan
breast_cancer,sklearn.load_breast_cancer,1,0.9,release_1,granular_ball,random_forest,569,30,2,13,21.846153846153847,3.0,1,91,1,0.38461538461538464,0.6153846153846154,1.9669289668144572,1.862836019759863,0.9857993080264996,1.0,0.978021978021978,1.0,0.5192050188454672,0.5155832528062018,0.01056338028169014,nan
breast_cancer,sklearn.load_breast_cancer,1,0.9,release_1,matched_kmeans,logistic,569,30,2,13,21.846153846153847,21.0,1,45,1,0.15384615384615385,0.15384615384615385,3.038010582546752,2.8020315604538992,0.9408383283383283,0.975,0.9333333333333333,1.0,0.5383356476889506,0.5304097177226236,0.014084507042253521,nan
breast_cancer,sklearn.load_breast_cancer,1,0.9,release_1,matched_kmeans,random_forest,569,30,2,13,21.846153846153847,21.0,1,45,1,0.15384615384615385,0.15384615384615385,3.038010582546752,2.8020315604538992,0.9408383283383283,0.975,0.9333333333333333,1.0,0.5566851815116048,0.5396910739819228,0.014084507042253521,nan
breast_cancer,sklearn.load_breast_cancer,1,0.9,release_2,granular_ball,logistic,569,30,2,13,21.846153846153847,3.0,1,91,1,0.38461538461538464,0.6153846153846154,1.9669289668144572,1.862836019759863,0.9857993080264996,1.0,0.978021978021978,1.0,0.5472624479269986,0.5610955935853502,0.02464788732394366,nan
breast_cancer,sklearn.load_breast_cancer,1,0.9,release_2,granular_ball,random_forest,569,30,2,13,21.846153846153847,3.0,1,91,1,0.38461538461538464,0.6153846153846154,1.9669289668144572,1.862836019759863,0.9857993080264996,1.0,0.978021978021978,1.0,0.516179825431462,0.51712309840073,0.0035211267605633804,nan
breast_cancer,sklearn.load_breast_cancer,1,0.9,release_2,matched_kmeans,logistic,569,30,2,13,21.846153846153847,21.0,1,45,1,0.15384615384615385,0.15384615384615385,3.038010582546752,2.8020315604538992,0.9408383283383283,0.975,0.9333333333333333,1.0,0.5620536599880976,0.5386472794068065,0.01056338028169014,nan
breast_cancer,sklearn.load_breast_cancer,1,0.9,release_2,matched_kmeans,random_forest,569,30,2,13,21.846153846153847,21.0,1,45,1,0.15384615384615385,0.15384615384615385,3.038010582546752,2.8020315604538992,0.9408383283383283,0.975,0.9333333333333333,1.0,0.572821612775243,0.5570136793679538,0.01056338028169014,nan
