generator_regime,shadow_seed,target_seed,attack_protocol,method,release,attack,threshold,number_of_balls,small_ball_ratio,candidate_count,negative_count,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr,dimension,redundant_fraction,label_noise
d60_redundancy0.0_noise0.05,fixed_pool_suite,2005,fixed_noise_same_pool_cross_release,matched_kmeans,release_1,logistic,0.9,31,0.8064516129032258,600,300,0.7263222222222222,0.7164460036467215,0.1,,60,0.0,0.05
d60_redundancy0.0_noise0.05,fixed_pool_suite,2005,fixed_noise_same_pool_cross_release,matched_kmeans,release_1,random_forest,0.9,31,0.8064516129032258,600,300,0.7597666666666667,0.7753790616752414,0.24,,60,0.0,0.05
d60_redundancy0.0_noise0.05,fixed_pool_suite,2006,fixed_noise_same_pool_cross_release,granular_ball,release_1,logistic,0.9,31,0.6774193548387096,600,300,0.6985,0.694357077371566,0.11333333333333333,,60,0.0,0.05
d60_redundancy0.0_noise0.05,fixed_pool_suite,2006,fixed_noise_same_pool_cross_release,granular_ball,release_1,random_forest,0.9,31,0.6774193548387096,600,300,0.7157222222222223,0.7459769084451819,0.18666666666666668,,60,0.0,0.05
d60_redundancy0.0_noise0.05,fixed_pool_suite,2006,fixed_noise_same_pool_cross_release,matched_kmeans,release_1,logistic,0.9,31,0.9032258064516129,600,300,0.6974444444444444,0.7000400575681114,0.11666666666666667,,60,0.0,0.05
d60_redundancy0.0_noise0.05,fixed_pool_suite,2006,fixed_noise_same_pool_cross_release,matched_kmeans,release_1,random_forest,0.9,31,0.9032258064516129,600,300,0.691411111111111,0.7048769154342075,0.14666666666666667,,60,0.0,0.05
d60_redundancy0.0_noise0.05,fixed_pool_suite,2007,fixed_noise_same_pool_cross_release,granular_ball,release_1,logistic,0.9,44,0.7272727272727273,600,300,0.8071333333333333,0.8300580633734578,0.2866666666666667,,60,0.0,0.05
d60_redundancy0.0_noise0.05,fixed_pool_suite,2007,fixed_noise_same_pool_cross_release,granular_ball,release_1,random_forest,0.9,44,0.7272727272727273,600,300,0.7989777777777778,0.8236939411919165,0.3233333333333333,,60,0.0,0.05
d60_redundancy0.0_noise0.05,fixed_pool_suite,2007,fixed_noise_same_pool_cross_release,matched_kmeans,release_1,logistic,0.9,44,0.8409090909090909,600,300,0.7190444444444444,0.7401377787121315,0.19,,60,0.0,0.05
d60_redundancy0.0_noise0.05,fixed_pool_suite,2007,fixed_noise_same_pool_cross_release,matched_kmeans,release_1,random_forest,0.9,44,0.8409090909090909,600,300,0.7565333333333333,0.777579708468108,0.23,,60,0.0,0.05
