dataset,seed,threshold,method,ball_size_bin,sample_count,member_count,roc_auc
confirm_d100_redundant0.1_noise0.15,808,0.95,granular_ball,6-10,68,34,0.8987889273356401
confirm_d100_redundant0.1_noise0.15,808,0.95,granular_ball,>20,83,40,0.6802325581395348
confirm_d100_redundant0.1_noise0.15,808,0.95,matched_kmeans,1-2,110,110,
confirm_d100_redundant0.1_noise0.15,808,0.95,matched_kmeans,11-20,112,40,0.8579861111111112
confirm_d100_redundant0.1_noise0.15,808,0.95,matched_kmeans,>20,378,150,0.7090058479532164
confirm_d100_redundant0.1_noise0.15,808,0.99,granular_ball,1-2,237,128,0.991829128440367
confirm_d100_redundant0.1_noise0.15,808,0.99,granular_ball,11-20,108,52,0.8767170329670331
confirm_d100_redundant0.1_noise0.15,808,0.99,granular_ball,3-5,104,46,0.9831334332833583
confirm_d100_redundant0.1_noise0.15,808,0.99,granular_ball,6-10,68,34,0.8987889273356401
confirm_d100_redundant0.1_noise0.15,808,0.99,granular_ball,>20,83,40,0.6802325581395348
confirm_d100_redundant0.1_noise0.15,808,0.99,matched_kmeans,1-2,110,110,
confirm_d100_redundant0.1_noise0.15,808,0.99,matched_kmeans,11-20,112,40,0.8579861111111112
confirm_d100_redundant0.1_noise0.15,808,0.99,matched_kmeans,>20,378,150,0.7090058479532164
confirm_d100_redundant0_noise0.05,2,0.9,granular_ball,1-2,108,40,0.8900735294117648
confirm_d100_redundant0_noise0.05,2,0.9,granular_ball,11-20,62,37,0.8735135135135136
confirm_d100_redundant0_noise0.05,2,0.9,granular_ball,3-5,38,12,0.907051282051282
confirm_d100_redundant0_noise0.05,2,0.9,granular_ball,>20,392,211,0.7228404597941924
confirm_d100_redundant0_noise0.05,2,0.9,matched_kmeans,1-2,32,32,
confirm_d100_redundant0_noise0.05,2,0.9,matched_kmeans,>20,568,268,0.6725621890547263
confirm_d100_redundant0_noise0.05,2,0.95,granular_ball,1-2,193,77,0.9380877742946708
confirm_d100_redundant0_noise0.05,2,0.95,granular_ball,11-20,78,50,0.8957142857142857
confirm_d100_redundant0_noise0.05,2,0.95,granular_ball,3-5,34,17,0.8961937716262975
confirm_d100_redundant0_noise0.05,2,0.95,granular_ball,6-10,24,20,1.0
confirm_d100_redundant0_noise0.05,2,0.95,granular_ball,>20,271,136,0.722875816993464
confirm_d100_redundant0_noise0.05,2,0.95,matched_kmeans,1-2,63,63,
confirm_d100_redundant0_noise0.05,2,0.95,matched_kmeans,11-20,31,14,0.7016806722689075
confirm_d100_redundant0_noise0.05,2,0.95,matched_kmeans,>20,506,223,0.725411589472183
confirm_d100_redundant0_noise0.05,2,0.99,granular_ball,1-2,220,87,0.994814622763806
confirm_d100_redundant0_noise0.05,2,0.99,granular_ball,11-20,78,40,0.8736842105263158
confirm_d100_redundant0_noise0.05,2,0.99,granular_ball,3-5,59,40,0.9973684210526316
confirm_d100_redundant0_noise0.05,2,0.99,granular_ball,6-10,64,43,0.9590254706533776
confirm_d100_redundant0_noise0.05,2,0.99,granular_ball,>20,179,90,0.7530586766541822
confirm_d100_redundant0_noise0.05,2,0.99,matched_kmeans,1-2,84,84,
confirm_d100_redundant0_noise0.05,2,0.99,matched_kmeans,6-10,16,8,0.78125
confirm_d100_redundant0_noise0.05,2,0.99,matched_kmeans,>20,500,208,0.7262414383561644
confirm_d100_redundant0_noise0.05,13,0.9,granular_ball,1-2,41,41,
confirm_d100_redundant0_noise0.05,13,0.9,granular_ball,11-20,66,36,0.8444444444444443
confirm_d100_redundant0_noise0.05,13,0.9,granular_ball,6-10,29,15,0.9857142857142858
confirm_d100_redundant0_noise0.05,13,0.9,granular_ball,>20,464,208,0.75244140625
confirm_d100_redundant0_noise0.05,13,0.9,matched_kmeans,1-2,44,44,
confirm_d100_redundant0_noise0.05,13,0.9,matched_kmeans,11-20,30,19,0.8564593301435406
confirm_d100_redundant0_noise0.05,13,0.9,matched_kmeans,>20,526,237,0.7093571605857534
confirm_d100_redundant0_noise0.05,13,0.95,granular_ball,1-2,45,45,
confirm_d100_redundant0_noise0.05,13,0.95,granular_ball,11-20,63,36,0.8425925925925926
confirm_d100_redundant0_noise0.05,13,0.95,granular_ball,6-10,102,29,0.8540387340576288
confirm_d100_redundant0_noise0.05,13,0.95,granular_ball,>20,390,190,0.7406842105263158
confirm_d100_redundant0_noise0.05,13,0.95,matched_kmeans,1-2,49,49,
confirm_d100_redundant0_noise0.05,13,0.95,matched_kmeans,11-20,33,18,0.8962962962962963
confirm_d100_redundant0_noise0.05,13,0.95,matched_kmeans,>20,518,233,0.7100368948121376
confirm_d100_redundant0_noise0.05,13,0.99,granular_ball,1-2,51,51,
confirm_d100_redundant0_noise0.05,13,0.99,granular_ball,11-20,161,74,0.8839701770736254
confirm_d100_redundant0_noise0.05,13,0.99,granular_ball,3-5,51,17,0.9429065743944637
