dataset,source,seed,method,release,attack,n_total,pool_samples,reference_samples,feature_count,shadow_runs,selected_count_mean,selection_stability_jaccard,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
breast_cancer,sklearn.load_breast_cancer,7,ReliefF,mask,random_forest,569,456,113,30,12,2.25,0.6199494949494949,0.4928406790764679,0.4889322739202883,0.005116959064327485,nan
breast_cancer,sklearn.load_breast_cancer,7,ReliefF,mask_count,logistic,569,456,113,30,12,2.25,0.6199494949494949,0.498432477086967,0.49748921770758037,0.006944444444444444,nan
breast_cancer,sklearn.load_breast_cancer,7,ReliefF,mask_count,random_forest,569,456,113,30,12,2.25,0.6199494949494949,0.49437006258335897,0.4895371196702496,0.004751461988304093,nan
breast_cancer,sklearn.load_breast_cancer,7,ReliefF,ranking,logistic,569,456,113,30,12,2.25,0.6199494949494949,0.49857835530590605,0.5002441780521312,0.011695906432748537,nan
breast_cancer,sklearn.load_breast_cancer,7,ReliefF,ranking,random_forest,569,456,113,30,12,2.25,0.6199494949494949,0.5091902609991108,0.5046226287393933,0.011695906432748537,nan
breast_cancer,sklearn.load_breast_cancer,21,GBFRS,mask,logistic,569,456,113,30,12,2.0,0.3914141414141414,0.4966637704763859,0.5007621397480995,0.010964912280701754,nan
breast_cancer,sklearn.load_breast_cancer,21,GBFRS,mask,random_forest,569,456,113,30,12,2.0,0.3914141414141414,0.5054789160553675,0.5006718386471473,0.007309941520467836,nan
breast_cancer,sklearn.load_breast_cancer,21,GBFRS,mask_count,logistic,569,456,113,30,12,2.0,0.3914141414141414,0.49687924810198014,0.5009137472525291,0.010964912280701754,nan
breast_cancer,sklearn.load_breast_cancer,21,GBFRS,mask_count,random_forest,569,456,113,30,12,2.0,0.3914141414141414,0.5045375206260045,0.5004147773848733,0.009502923976608187,nan
breast_cancer,sklearn.load_breast_cancer,21,GBFRS,ranking,logistic,569,456,113,30,12,2.0,0.3914141414141414,0.4994104756591772,0.5010905925651069,0.009137426900584795,nan
breast_cancer,sklearn.load_breast_cancer,21,GBFRS,ranking,random_forest,569,456,113,30,12,2.0,0.3914141414141414,0.5157782923591875,0.5087193327005559,0.012426900584795321,nan
breast_cancer,sklearn.load_breast_cancer,21,FRFS,mask,logistic,569,456,113,30,12,2.0,0.601010101010101,0.5027278024648609,0.502637513577,0.009137426900584795,nan
breast_cancer,sklearn.load_breast_cancer,21,FRFS,mask,random_forest,569,456,113,30,12,2.0,0.601010101010101,0.5148446450403543,0.5060502702200458,0.008406432748538011,nan
breast_cancer,sklearn.load_breast_cancer,21,FRFS,mask_count,logistic,569,456,113,30,12,2.0,0.601010101010101,0.5026867241202421,0.5027492300024635,0.009137426900584795,nan
breast_cancer,sklearn.load_breast_cancer,21,FRFS,mask_count,random_forest,569,456,113,30,12,2.0,0.601010101010101,0.5181538897652269,0.5082805361912803,0.007675438596491228,nan
breast_cancer,sklearn.load_breast_cancer,21,MutualInformation,mask,logistic,569,456,113,30,12,2.0,0.3194444444444445,0.5076475186809617,0.5052031593169866,0.011695906432748537,nan
breast_cancer,sklearn.load_breast_cancer,21,MutualInformation,mask,random_forest,569,456,113,30,12,2.0,0.3194444444444445,0.5231597703139428,0.5163154094693815,0.005847953216374269,nan
breast_cancer,sklearn.load_breast_cancer,21,MutualInformation,mask_count,logistic,569,456,113,30,12,2.0,0.3194444444444445,0.5076362972795048,0.5052013236861879,0.011330409356725146,nan
breast_cancer,sklearn.load_breast_cancer,21,MutualInformation,mask_count,random_forest,569,456,113,30,12,2.0,0.3194444444444445,0.5197458593028624,0.5133711081845835,0.005482456140350877,nan
breast_cancer,sklearn.load_breast_cancer,21,MutualInformation,ranking,logistic,569,456,113,30,12,2.0,0.3194444444444445,0.5119759071167197,0.5086805204589551,0.01023391812865497,nan
breast_cancer,sklearn.load_breast_cancer,21,MutualInformation,ranking,random_forest,569,456,113,30,12,2.0,0.3194444444444445,0.497861989052187,0.4919245601353361,0.0029239766081871343,nan
breast_cancer,sklearn.load_breast_cancer,21,ReliefF,mask,logistic,569,456,113,30,12,2.0,0.5252525252525252,0.499129539858418,0.5049491532287064,0.012426900584795321,nan
breast_cancer,sklearn.load_breast_cancer,21,ReliefF,mask,random_forest,569,456,113,30,12,2.0,0.5252525252525252,0.4982311598013064,0.4951855195906685,0.003654970760233918,nan
breast_cancer,sklearn.load_breast_cancer,21,ReliefF,mask_count,logistic,569,456,113,30,12,2.0,0.5252525252525252,0.4991122401978387,0.5049279626829398,0.012426900584795321,nan
breast_cancer,sklearn.load_breast_cancer,21,ReliefF,mask_count,random_forest,569,456,113,30,12,2.0,0.5252525252525252,0.4996143979130331,0.4954478064949718,0.004751461988304093,nan
breast_cancer,sklearn.load_breast_cancer,21,ReliefF,ranking,logistic,569,456,113,30,12,2.0,0.5252525252525252,0.5044180260593003,0.5041094478741339,0.007675438596491228,nan
breast_cancer,sklearn.load_breast_cancer,21,ReliefF,ranking,random_forest,569,456,113,30,12,2.0,0.5252525252525252,0.4935181711894258,0.4907799739448109,0.005116959064327485,nan
sonar,UCI id=151 via ucimlrepo,1,GBFRS,mask,logistic,208,167,41,60,12,3.0,0.09783549783549783,0.5066501123541787,0.5049781211627282,0.01706827309236948,nan
sonar,UCI id=151 via ucimlrepo,1,GBFRS,mask,random_forest,208,167,41,60,12,3.0,0.09783549783549783,0.4828236557340473,0.4841953548885881,0.014056224899598393,nan
sonar,UCI id=151 via ucimlrepo,1,GBFRS,mask_count,logistic,208,167,41,60,12,3.0,0.09783549783549783,0.5064080727672595,0.5047072096365122,0.01706827309236948,nan
sonar,UCI id=151 via ucimlrepo,1,GBFRS,mask_count,random_forest,208,167,41,60,12,3.0,0.09783549783549783,0.48614447870848476,0.48811982845369767,0.009036144578313253,nan
sonar,UCI id=151 via ucimlrepo,1,GBFRS,ranking,logistic,208,167,41,60,12,3.0,0.09783549783549783,0.5095396466819659,0.5057922450036666,0.018072289156626505,nan
sonar,UCI id=151 via ucimlrepo,1,GBFRS,ranking,random_forest,208,167,41,60,12,3.0,0.09783549783549783,0.48324548192771083,0.47998877210533414,0.008032128514056224,nan
sonar,UCI id=151 via ucimlrepo,1,FRFS,mask,logistic,208,167,41,60,12,3.0,0.26580086580086576,0.5154651343469114,0.5026221536467324,0.007028112449799197,nan
sonar,UCI id=151 via ucimlrepo,1,FRFS,mask,random_forest,208,167,41,60,12,3.0,0.26580086580086576,0.48206815356664756,0.48857513962211097,0.01104417670682731,nan
sonar,UCI id=151 via ucimlrepo,1,FRFS,mask_count,logistic,208,167,41,60,12,3.0,0.26580086580086576,0.5152230947599923,0.502641943631116,0.007028112449799197,nan
sonar,UCI id=151 via ucimlrepo,1,FRFS,mask_count,random_forest,208,167,41,60,12,3.0,0.26580086580086576,0.48699759354879846,0.49334455700564006,0.014056224899598393,nan
sonar,UCI id=151 via ucimlrepo,1,MutualInformation,mask,logistic,208,167,41,60,12,3.0,0.16284271284271284,0.48332815388538275,0.49617512281086873,0.013052208835341365,nan
sonar,UCI id=151 via ucimlrepo,1,MutualInformation,mask,random_forest,208,167,41,60,12,3.0,0.16284271284271284,0.508923093166316,0.5041541422911124,0.006024096385542169,nan
sonar,UCI id=151 via ucimlrepo,1,MutualInformation,mask_count,logistic,208,167,41,60,12,3.0,0.16284271284271284,0.48216377414419587,0.4955125463109454,0.01104417670682731,nan
sonar,UCI id=151 via ucimlrepo,1,MutualInformation,mask_count,random_forest,208,167,41,60,12,3.0,0.16284271284271284,0.5110795363995665,0.5078212525136057,0.010040160642570281,nan
sonar,UCI id=151 via ucimlrepo,1,MutualInformation,ranking,logistic,208,167,41,60,12,3.0,0.16284271284271284,0.5172704707719767,0.5004439872272308,0.007028112449799197,nan
sonar,UCI id=151 via ucimlrepo,1,MutualInformation,ranking,random_forest,208,167,41,60,12,3.0,0.16284271284271284,0.5055783650474915,0.49336906766922606,0.007028112449799197,nan
sonar,UCI id=151 via ucimlrepo,1,ReliefF,mask,logistic,208,167,41,60,12,3.0,0.4795093795093795,0.48969339660228217,0.49442305416822896,0.01104417670682731,nan
sonar,UCI id=151 via ucimlrepo,1,ReliefF,mask,random_forest,208,167,41,60,12,3.0,0.4795093795093795,0.4838804623254925,0.4921931251335536,0.02108433734939759,nan
sonar,UCI id=151 via ucimlrepo,1,ReliefF,mask_count,logistic,208,167,41,60,12,3.0,0.4795093795093795,0.4897322424619111,0.49428320494392464,0.01104417670682731,nan
sonar,UCI id=151 via ucimlrepo,1,ReliefF,mask_count,random_forest,208,167,41,60,12,3.0,0.4795093795093795,0.4830447783196278,0.487970467962625,0.019076305220883535,nan
sonar,UCI id=151 via ucimlrepo,1,ReliefF,ranking,logistic,208,167,41,60,12,3.0,0.4795093795093795,0.5310189169375917,0.5243425127977837,0.012048192771084338,nan
sonar,UCI id=151 via ucimlrepo,1,ReliefF,ranking,random_forest,208,167,41,60,12,3.0,0.4795093795093795,0.5275845445273157,0.5109389383498277,0.004016064257028112,nan
sonar,UCI id=151 via ucimlrepo,7,GBFRS,mask,logistic,208,167,41,60,12,2.75,0.1606060606060606,0.47345234111047363,0.4757924369881298,0.006024096385542169,nan
sonar,UCI id=151 via ucimlrepo,7,GBFRS,mask,random_forest,208,167,41,60,12,2.75,0.1606060606060606,0.4644834297507491,0.47255347200598763,0.008032128514056224,nan
sonar,UCI id=151 via ucimlrepo,7,GBFRS,mask_count,logistic,208,167,41,60,12,2.75,0.1606060606060606,0.47402257840887363,0.47604273590376445,0.006024096385542169,nan
