dataset,source,seed,threshold,release,method,attack,n,d,classes,number_of_balls,mean_ball_size,median_ball_size,min_ball_size,max_ball_size,singleton_count,fraction_size_le_2,fraction_size_le_5,mean_radius,median_radius,purity_mean,purity_median,purity_q25,purity_q75,separation,density_ratio,minority_fraction,modes,dimension,redundant_fraction,label_noise,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.8,release_3,matched_kmeans,random_forest,600,60,2,27,11.11111111111111,1.0,1,102,22,0.8148148148148148,0.8148148148148148,1.355771724700932,0.0,0.9573889334811247,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.7112555555555555,0.7419058643776619,0.17333333333333334,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.9,release_1,granular_ball,logistic,600,60,2,38,7.894736842105263,1.0,1,95,28,0.8157894736842105,0.8421052631578947,1.4423587970997858,0.0,0.988268248863283,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.7341,0.7592728258374316,0.16333333333333333,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.9,release_1,granular_ball,random_forest,600,60,2,38,7.894736842105263,1.0,1,95,28,0.8157894736842105,0.8421052631578947,1.4423587970997858,0.0,0.988268248863283,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.6627055555555555,0.7027780132552497,0.16333333333333333,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.9,release_1,matched_kmeans,logistic,600,60,2,38,7.894736842105263,1.0,1,99,33,0.868421052631579,0.868421052631579,0.9547022656514921,0.0,0.9703073972810816,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.6994,0.7049614484923081,0.14666666666666667,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.9,release_1,matched_kmeans,random_forest,600,60,2,38,7.894736842105263,1.0,1,99,33,0.868421052631579,0.868421052631579,0.9547022656514921,0.0,0.9703073972810816,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.7270000000000001,0.7361643884287707,0.15,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.9,release_2,granular_ball,logistic,600,60,2,38,7.894736842105263,1.0,1,95,28,0.8157894736842105,0.8421052631578947,1.4423587970997858,0.0,0.988268248863283,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.7639555555555556,0.7787834339831778,0.22666666666666666,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.9,release_2,granular_ball,random_forest,600,60,2,38,7.894736842105263,1.0,1,95,28,0.8157894736842105,0.8421052631578947,1.4423587970997858,0.0,0.988268248863283,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.7016666666666667,0.7247909700492309,0.12333333333333334,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.9,release_2,matched_kmeans,logistic,600,60,2,38,7.894736842105263,1.0,1,99,33,0.868421052631579,0.868421052631579,0.9547022656514921,0.0,0.9703073972810816,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.6674666666666667,0.699237714396951,0.17666666666666667,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.9,release_2,matched_kmeans,random_forest,600,60,2,38,7.894736842105263,1.0,1,99,33,0.868421052631579,0.868421052631579,0.9547022656514921,0.0,0.9703073972810816,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.7324999999999999,0.7503039918467203,0.17,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.9,release_3,granular_ball,logistic,600,60,2,38,7.894736842105263,1.0,1,95,28,0.8157894736842105,0.8421052631578947,1.4423587970997858,0.0,0.988268248863283,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.7543,0.7573237375703303,0.15666666666666668,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.9,release_3,granular_ball,random_forest,600,60,2,38,7.894736842105263,1.0,1,95,28,0.8157894736842105,0.8421052631578947,1.4423587970997858,0.0,0.988268248863283,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.6996444444444445,0.7259641214489038,0.13666666666666666,nan
