dataset,source,seed,threshold,release,method,attack,n,d,classes,number_of_balls,mean_ball_size,median_ball_size,min_ball_size,max_ball_size,singleton_count,fraction_size_le_2,fraction_size_le_5,mean_radius,median_radius,purity_mean,purity_median,purity_q25,purity_q75,base_dataset,training_label_noise,intervention,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.95,release_3,granular_ball,logistic,208,60,2,54,1.9259259259259258,2.0,1,5,24,0.7592592592592593,1.0,1.9519643121740249,1.668348596377548,0.9351851851851852,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9673631656804733,0.970820994763586,0.7211538461538461,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.95,release_3,granular_ball,random_forest,208,60,2,54,1.9259259259259258,2.0,1,5,24,0.7592592592592593,1.0,1.9519643121740249,1.668348596377548,0.9351851851851852,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9774408284023669,0.979766402861674,0.8461538461538461,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.95,release_3,matched_kmeans,logistic,208,60,2,54,1.9259259259259258,1.0,1,12,38,0.7962962962962963,0.9259259259259259,0.880115672635474,0.0,0.9581569664902998,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9205806213017751,0.9226109733384664,0.49038461538461536,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.95,release_3,matched_kmeans,random_forest,208,60,2,54,1.9259259259259258,1.0,1,12,38,0.7962962962962963,0.9259259259259259,0.880115672635474,0.0,0.9581569664902998,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9263128698224852,0.9250123045756106,0.49038461538461536,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.99,release_1,granular_ball,logistic,208,60,2,54,1.9259259259259258,2.0,1,5,24,0.7592592592592593,1.0,1.9519643121740249,1.668348596377548,0.9351851851851852,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9443417159763313,0.9467178529829307,0.49038461538461536,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.99,release_1,granular_ball,random_forest,208,60,2,54,1.9259259259259258,2.0,1,5,24,0.7592592592592593,1.0,1.9519643121740249,1.668348596377548,0.9351851851851852,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9408284023668639,0.9376412033144315,0.5480769230769231,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.99,release_1,matched_kmeans,logistic,208,60,2,54,1.9259259259259258,1.0,1,12,38,0.7962962962962963,0.9259259259259259,0.880115672635474,0.0,0.9581569664902998,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9296412721893492,0.9342448825468472,0.5865384615384616,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.99,release_1,matched_kmeans,random_forest,208,60,2,54,1.9259259259259258,1.0,1,12,38,0.7962962962962963,0.9259259259259259,0.880115672635474,0.0,0.9581569664902998,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9192862426035503,0.9211430582576003,0.5480769230769231,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.99,release_2,granular_ball,logistic,208,60,2,54,1.9259259259259258,2.0,1,5,24,0.7592592592592593,1.0,1.9519643121740249,1.668348596377548,0.9351851851851852,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9692122781065089,0.9732547658392038,0.7596153846153846,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.99,release_2,granular_ball,random_forest,208,60,2,54,1.9259259259259258,2.0,1,5,24,0.7592592592592593,1.0,1.9519643121740249,1.668348596377548,0.9351851851851852,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9775332840236686,0.9804254135727679,0.8269230769230769,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.99,release_2,matched_kmeans,logistic,208,60,2,54,1.9259259259259258,1.0,1,12,38,0.7962962962962963,0.9259259259259259,0.880115672635474,0.0,0.9581569664902998,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.927237426035503,0.9303899799673986,0.5192307692307693,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.99,release_2,matched_kmeans,random_forest,208,60,2,54,1.9259259259259258,1.0,1,12,38,0.7962962962962963,0.9259259259259259,0.880115672635474,0.0,0.9581569664902998,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9308431952662721,0.9325531817852082,0.5480769230769231,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.99,release_3,granular_ball,logistic,208,60,2,54,1.9259259259259258,2.0,1,5,24,0.7592592592592593,1.0,1.9519643121740249,1.668348596377548,0.9351851851851852,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9673631656804733,0.970820994763586,0.7211538461538461,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.99,release_3,granular_ball,random_forest,208,60,2,54,1.9259259259259258,2.0,1,5,24,0.7592592592592593,1.0,1.9519643121740249,1.668348596377548,0.9351851851851852,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9774408284023669,0.979766402861674,0.8461538461538461,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.99,release_3,matched_kmeans,logistic,208,60,2,54,1.9259259259259258,1.0,1,12,38,0.7962962962962963,0.9259259259259259,0.880115672635474,0.0,0.9581569664902998,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9205806213017751,0.9226109733384664,0.49038461538461536,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.99,release_3,matched_kmeans,random_forest,208,60,2,54,1.9259259259259258,1.0,1,12,38,0.7962962962962963,0.9259259259259259,0.880115672635474,0.0,0.9581569664902998,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9263128698224852,0.9250123045756106,0.49038461538461536,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,13,0.7,release_1,granular_ball,logistic,208,60,2,8,13.0,12.0,2,24,0,0.125,0.125,5.220399381496877,4.937941269058585,0.7380473692973694,0.7113095238095238,0.70625,0.7762237762237763,sonar,0.05,member_training_labels_only,0.6636464497041421,0.6896197476314241,0.1346153846153846,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,13,0.7,release_1,granular_ball,random_forest,208,60,2,8,13.0,12.0,2,24,0,0.125,0.125,5.220399381496877,4.937941269058585,0.7380473692973694,0.7113095238095238,0.70625,0.7762237762237763,sonar,0.05,member_training_labels_only,0.6881471893491123,0.6787786307477887,0.0673076923076923,nan
