dataset,seed,method,weighted_train_optimism,weighted_calibration_error,high_purity_small_gap,high_purity_small_mass,native_construction_overlap,mean_structure_support,min_structure_support,ball_count
iris,21,cart_matched_leaf_count,0.033333333333333305,0.016666666666666653,0.0,0.0666666666666666,1.0,17.6,2,5
iris,21,gb_adaptive_parameter_free,0.06666666666666665,0.09090909090909091,0.06666666666666665,0.9999999999999992,1.0,1.0,1,23
iris,21,gb_fixed_p090,0.05686274509803917,0.041666666666666644,0.09090909090909088,0.36666666666666636,1.0,6.818181818181818,1,11
iris,21,kmeans_matched_adaptive_gb,0.06666666666666667,0.09090909090909091,0.06666666666666667,0.999999999999999,1.0,1.0,1,23
iris,21,kmeans_matched_fixed_gb,0.04999999999999997,0.04347826086956515,0.11764705882352935,0.5666666666666663,1.0,4.5,2,16
wine,1,cart_matched_adaptive_leaf_count,0.11111111111111106,-0.0006410256410256172,0.666666666666667,0.0833333333333332,1.0,20.2,1,5
wine,1,cart_matched_leaf_count,0.11111111111111106,-0.0006410256410256172,0.666666666666667,0.0833333333333332,1.0,20.2,1,5
wine,1,gb_adaptive_parameter_free,1.3877787807814478e-17,-0.08666666666666668,0.0,0.7777777777777766,0.981132075471698,3.0,1,21
wine,1,gb_fixed_p090,0.01567398119122253,-0.011764705882352929,,0.0,0.9245283018867924,23.25,6,4
wine,1,kmeans_matched_adaptive_gb,0.013888888888888873,-0.026315789473684174,0.0,0.9722222222222208,1.0,2.130434782608696,1,23
wine,1,kmeans_matched_fixed_gb,-0.02346999405822937,-0.0057142857142857325,0.0,0.0277777777777777,1.0,10.6,2,10
wine,7,cart_matched_adaptive_leaf_count,0.05555555555555556,-0.010204081632653047,0.0,0.111111111111111,1.0,21.2,1,5
wine,7,cart_matched_leaf_count,0.09900284900284899,-0.023809523809523787,,0.0,1.0,35.333333333333336,28,3
wine,7,gb_adaptive_parameter_free,0.027777777777777787,-0.00869565217391305,0.03571428571428574,0.7777777777777765,1.0,1.6,1,20
wine,7,gb_fixed_p090,0.0016827171999585794,-0.055555555555555525,,0.0,0.9528301886792452,35.333333333333336,29,3
wine,7,kmeans_matched_adaptive_gb,0.02777777777777776,-0.033333333333333305,0.02777777777777776,0.9999999999999979,1.0,1.3214285714285714,1,28
wine,7,kmeans_matched_fixed_gb,-0.0007766387076731593,0.0021367521367521777,,0.0,1.0,35.333333333333336,29,3
wine,21,cart_matched_adaptive_leaf_count,0.08333333333333327,-0.14969474969474966,0.24999999999999975,0.11111111111111091,1.0,16.5,1,6
wine,21,cart_matched_leaf_count,0.0585897435897436,-0.24151234567901228,,0.0,1.0,35.333333333333336,26,3
wine,21,gb_adaptive_parameter_free,0.027777777777777797,-0.04444444444444441,0.0,0.7777777777777768,1.0,3.7222222222222223,1,18
wine,21,gb_fixed_p090,0.06531531531531531,0.035714285714285685,,0.0,0.9528301886792452,35.333333333333336,28,3
wine,21,kmeans_matched_adaptive_gb,0.020833333333333374,1.0786825977892163e-16,0.03333333333333337,0.8333333333333321,1.0,2.9545454545454546,1,22
wine,21,kmeans_matched_fixed_gb,0.009759759759759776,-0.03888888888888885,,0.0,1.0,35.333333333333336,28,3
