dataset,seed,method,target_coverage,risk_train,risk_cal,risk_laplace,risk_wilson,coverage_train,coverage_cal,cal_minus_train_risk,laplace_minus_train_risk,wilson_minus_train_risk
dry_bean,1,gb_fixed_p090,0.9,0.1064516129032258,0.0645161290322581,0.0641025641025641,0.0566666666666666,0.9144542772861356,0.9144542772861356,-0.041935483870967696,-0.042349048800661704,-0.0497849462365592
dry_bean,7,gb_adaptive_parameter_free,0.8,0.103030303030303,0.0482758620689655,0.0476190476190476,0.0533333333333333,0.9593023255813954,0.8430232558139535,-0.0547544409613375,-0.0554112554112554,-0.0496969696969697
dry_bean,7,gb_adaptive_parameter_free,0.9,0.103030303030303,0.0529801324503311,0.0529801324503311,0.0533333333333333,0.9593023255813954,0.877906976744186,-0.0500501705799719,-0.0500501705799719,-0.0496969696969697
dry_bean,7,gb_fixed_p090,0.8,0.1107594936708861,0.1019108280254776,0.0804597701149425,0.0778210116731517,0.9212827988338192,0.9154518950437318,-0.008848665645408496,-0.030299723555943597,-0.0329384819977344
dry_bean,7,gb_fixed_p090,0.9,0.1107594936708861,0.1019108280254776,0.0875420875420875,0.0935483870967741,0.9212827988338192,0.9154518950437318,-0.008848665645408496,-0.023217406128798593,-0.017211106574111998
dry_bean,21,gb_adaptive_parameter_free,0.8,0.0961538461538461,0.037037037037037,0.037037037037037,0.036231884057971,1.0,0.8653846153846154,-0.0591168091168091,-0.0591168091168091,-0.0599219620958751
dry_bean,21,gb_adaptive_parameter_free,0.9,0.0961538461538461,0.037037037037037,0.037037037037037,0.036231884057971,1.0,0.8653846153846154,-0.0591168091168091,-0.0591168091168091,-0.0599219620958751
dry_bean,21,gb_fixed_p090,0.8,0.0753424657534246,0.0443686006825938,0.0596491228070175,0.0604982206405694,0.8390804597701149,0.8419540229885057,-0.030973865070830796,-0.015693342946407098,-0.014844245112855196
dry_bean,21,gb_fixed_p090,0.9,0.0666666666666666,0.0574018126888217,0.0603174603174603,0.0603174603174603,0.9913793103448276,0.9511494252873564,-0.009264853977844899,-0.006349206349206299,-0.006349206349206299
iris,1,gb_adaptive_parameter_free,0.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
iris,1,gb_adaptive_parameter_free,0.9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
iris,1,gb_fixed_p090,0.8,0.0434782608695651,0.037037037037037,0.037037037037037,0.0454545454545454,0.8518518518518519,1.0,-0.006441223832528098,-0.006441223832528098,0.001976284584980302
iris,1,gb_fixed_p090,0.9,0.037037037037037,0.037037037037037,0.037037037037037,0.037037037037037,1.0,1.0,0.0,0.0,0.0
iris,7,gb_adaptive_parameter_free,0.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
iris,7,gb_adaptive_parameter_free,0.9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
iris,7,gb_fixed_p090,0.8,0.04,0.0384615384615384,0.0384615384615384,0.0384615384615384,0.8928571428571429,0.9285714285714286,-0.0015384615384615996,-0.0015384615384615996,-0.0015384615384615996
iris,7,gb_fixed_p090,0.9,0.04,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.8928571428571429,1.0,0.031428571428571396,0.031428571428571396,0.031428571428571396
iris,21,gb_adaptive_parameter_free,0.8,0.1818181818181817,0.0999999999999999,0.0999999999999999,0.0999999999999999,1.0,0.9090909090909092,-0.08181818181818182,-0.08181818181818182,-0.08181818181818182
iris,21,gb_adaptive_parameter_free,0.9,0.1818181818181817,0.0999999999999999,0.0999999999999999,0.0999999999999999,1.0,0.9090909090909092,-0.08181818181818182,-0.08181818181818182,-0.08181818181818182
iris,21,gb_fixed_p090,0.8,0.0,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.7916666666666666,1.0,0.0416666666666666,0.0416666666666666,0.0416666666666666
iris,21,gb_fixed_p090,0.9,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0416666666666666,1.0,1.0,0.0,0.0,0.0
