experiment_id,seed,collusion_strength,drift,malicious_ratio,method,n_auditors,n_groups,additional_audit_cost,decision_delay,false_rejection_rate,false_trust_rate,final_audit_accuracy,malicious_auprc,malicious_auroc
multi-auditor-v1-s1,1,0.5,0.2,0.3,weighted_majority,20,,0.0,1.5616482367756361,0.07142857142857142,0.5,0.8,0.696137196137196,0.7321428571428572
multi-auditor-v1-s7,7,0.5,0.2,0.3,beta_reputation,20,,0.0,1.500559933480192,0.0,0.5,0.67,0.6576388888888889,0.6130952380952381
multi-auditor-v1-s7,7,0.5,0.2,0.3,dawid_skene,20,,0.0,1.500559933480192,0.0,0.16666666666666666,0.35,0.19225289531017087,0.0
multi-auditor-v1-s7,7,0.5,0.2,0.3,gb_three_way,20,1.0,0.0,1.500559933480192,0.0,1.0,0.5466666666666666,0.3,0.5
multi-auditor-v1-s7,7,0.5,0.2,0.3,granular_ball,20,1.0,0.0,1.500559933480192,0.0,1.0,0.5466666666666666,0.3,0.5
multi-auditor-v1-s7,7,0.5,0.2,0.3,kmeans_trust,20,1.0,0.0,1.500559933480192,0.0,1.0,0.5466666666666666,0.3,0.5
multi-auditor-v1-s7,7,0.5,0.2,0.3,knn_competence,20,,0.0,1.500559933480192,0.0,0.5,0.67,0.6576388888888889,0.6130952380952381
multi-auditor-v1-s7,7,0.5,0.2,0.3,majority_vote,20,,0.0,1.500559933480192,0.0,1.0,0.5466666666666666,0.3,0.5
multi-auditor-v1-s7,7,0.5,0.2,0.3,tree_partition,20,1.0,0.0,1.500559933480192,0.0,1.0,0.5466666666666666,0.3,0.5
multi-auditor-v1-s7,7,0.5,0.2,0.3,weighted_majority,20,,0.0,1.5077167783336447,0.0,0.5,0.7266666666666667,0.6576388888888889,0.6130952380952381
multi-auditor-v1-s21,21,0.5,0.2,0.3,beta_reputation,20,,0.0,1.5259273491066514,0.0,0.5,0.7333333333333333,0.7075396825396825,0.75
multi-auditor-v1-s21,21,0.5,0.2,0.3,dawid_skene,20,,0.0,1.5259273491066514,0.0,0.0,0.38333333333333336,0.19225289531017087,0.0
multi-auditor-v1-s21,21,0.5,0.2,0.3,gb_three_way,20,2.0,0.0,1.5133093929887271,0.0,0.5,0.75,0.65,0.75
multi-auditor-v1-s21,21,0.5,0.2,0.3,granular_ball,20,2.0,0.0,1.5259273491066514,0.0,0.5,0.6933333333333334,0.65,0.75
multi-auditor-v1-s21,21,0.5,0.2,0.3,kmeans_trust,20,2.0,0.0,1.5259273491066514,0.0,0.5,0.6933333333333334,0.65,0.75
multi-auditor-v1-s21,21,0.5,0.2,0.3,knn_competence,20,,0.0,1.5259273491066514,0.0,0.5,0.7333333333333333,0.7075396825396825,0.75
multi-auditor-v1-s21,21,0.5,0.2,0.3,majority_vote,20,,0.0,1.5259273491066514,0.0,1.0,0.5333333333333333,0.3,0.5
multi-auditor-v1-s21,21,0.5,0.2,0.3,tree_partition,20,2.0,0.0,1.5259273491066514,0.0,0.5,0.6933333333333334,0.65,0.75
multi-auditor-v1-s21,21,0.5,0.2,0.3,weighted_majority,20,,0.0,1.5133093929887271,0.07142857142857142,0.5,0.7833333333333333,0.7075396825396825,0.75
multi-auditor-v1-s42,42,0.5,0.2,0.3,beta_reputation,20,,0.0,1.4612155783164709,0.0,0.5,0.6933333333333334,0.6664624183006536,0.6428571428571428
multi-auditor-v1-s42,42,0.5,0.2,0.3,dawid_skene,20,,0.0,1.4612155783164709,0.0,0.0,0.26666666666666666,0.19225289531017087,0.0
multi-auditor-v1-s42,42,0.5,0.2,0.3,gb_three_way,20,2.0,0.0,1.522275405505482,0.0,0.5,0.7166666666666667,0.65,0.75
multi-auditor-v1-s42,42,0.5,0.2,0.3,granular_ball,20,2.0,0.0,1.4612155783164709,0.0,0.5,0.6433333333333333,0.65,0.75
multi-auditor-v1-s42,42,0.5,0.2,0.3,kmeans_trust,20,2.0,0.0,1.4612155783164709,0.0,0.5,0.6433333333333333,0.65,0.75
multi-auditor-v1-s42,42,0.5,0.2,0.3,knn_competence,20,,0.0,1.4612155783164709,0.0,0.5,0.6933333333333334,0.6664624183006536,0.6428571428571428
multi-auditor-v1-s42,42,0.5,0.2,0.3,majority_vote,20,,0.0,1.4612155783164709,0.0,1.0,0.4666666666666667,0.3,0.5
multi-auditor-v1-s42,42,0.5,0.2,0.3,tree_partition,20,2.0,0.0,1.4612155783164709,0.0,0.5,0.6433333333333333,0.65,0.75
multi-auditor-v1-s42,42,0.5,0.2,0.3,weighted_majority,20,,0.0,1.522275405505482,0.07142857142857142,0.5,0.7566666666666667,0.6664624183006536,0.6428571428571428
multi-auditor-v1-s2026,2026,0.5,0.2,0.3,beta_reputation,20,,0.0,1.5644549871903404,0.0,0.5,0.6633333333333333,0.6895927601809955,0.7083333333333334
multi-auditor-v1-s2026,2026,0.5,0.2,0.3,dawid_skene,20,,0.0,1.5644549871903404,0.0,0.0,0.23666666666666666,0.19225289531017087,0.0
multi-auditor-v1-s2026,2026,0.5,0.2,0.3,gb_three_way,20,5.0,60.0,1.6278105834960466,0.2857142857142857,0.5,0.7333333333333333,0.65,0.6785714285714286
multi-auditor-v1-s2026,2026,0.5,0.2,0.3,granular_ball,20,5.0,0.0,1.5644549871903404,0.0,0.5,0.66,0.65,0.625
multi-auditor-v1-s2026,2026,0.5,0.2,0.3,kmeans_trust,20,5.0,0.0,1.5644549871903404,0.0,0.5,0.66,0.7307692307692308,0.75
multi-auditor-v1-s2026,2026,0.5,0.2,0.3,knn_competence,20,,0.0,1.5644549871903404,0.0,0.5,0.6633333333333333,0.6895927601809955,0.7083333333333334
multi-auditor-v1-s2026,2026,0.5,0.2,0.3,majority_vote,20,,0.0,1.5644549871903404,0.0,1.0,0.4766666666666667,0.3,0.5
multi-auditor-v1-s2026,2026,0.5,0.2,0.3,tree_partition,20,5.0,0.0,1.5644549871903404,0.0,0.5,0.66,0.6690476190476191,0.6845238095238095
multi-auditor-v1-s2026,2026,0.5,0.2,0.3,weighted_majority,20,,0.0,1.6278105834960466,0.21428571428571427,0.5,0.7733333333333333,0.6895927601809955,0.7083333333333334
multi-auditor-v1-s1,1,1.0,0.0,0.3,beta_reputation,20,,0.0,1.4932940908201648,0.0,0.5,0.9833333333333333,0.7053872053872055,0.7261904761904762
multi-auditor-v1-s1,1,1.0,0.0,0.3,dawid_skene,20,,0.0,1.4932940908201648,0.0,0.0,1.0,1.0,1.0
multi-auditor-v1-s1,1,1.0,0.0,0.3,gb_three_way,20,5.0,45.0,1.5040625484513896,0.21428571428571427,0.5,0.99,0.65,0.6964285714285714
multi-auditor-v1-s1,1,1.0,0.0,0.3,granular_ball,20,5.0,0.0,1.4932940908201648,0.0,0.5,0.9833333333333333,0.6764705882352942,0.75
multi-auditor-v1-s1,1,1.0,0.0,0.3,kmeans_trust,20,5.0,0.0,1.4932940908201648,0.0,0.5,0.9833333333333333,0.7307692307692308,0.75
multi-auditor-v1-s1,1,1.0,0.0,0.3,knn_competence,20,,0.0,1.4932940908201648,0.0,0.5,0.9833333333333333,0.7053872053872055,0.7261904761904762
multi-auditor-v1-s1,1,1.0,0.0,0.3,majority_vote,20,,0.0,1.4932940908201648,0.0,1.0,0.8866666666666667,0.3,0.5
